_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.7,TRR00780,M1,1,0,TRRUST,34,Regulated by: MYC,,-5.7,6,6.9,30242,110,500,11,2.2,0.66,790|865|1017|2033|5725|7019|7023|7037|7514|10527|11200,CAD|CBFB|CDK2|EP300|PTBP1|TFAM|TFAP4|TFRC|XPO1|IPO7|CHEK2,-3.2,0
1,-5.1,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-5.1,4.5,6,30242,174,500,13,2.6,0.71,632|1017|1869|2146|4193|4194|4609|5424|7514|10498|10527|11200|29128,BGLAP|CDK2|E2F1|EZH2|MDM2|MDM4|MYC|POLD1|XPO1|CARM1|IPO7|CHEK2|UHRF1,-2.7,0
1,-4.6,TRR00230,M1,1,0,TRRUST,34,Regulated by: E2F1,,-4.6,4.7,5.7,30242,142,500,11,2.2,0.66,1869|3159|4174|4193|4609|5888|6241|11200|29128|64785|79648,E2F1|HMGA1|MCM5|MDM2|MYC|RAD51|RRM2|CHEK2|UHRF1|GINS3|MCPH1,-2.3,0
1,-4,TRR00781,M1,1,0,TRRUST,34,Regulated by: MYCN,,-4,7.9,6.1,30242,46,500,6,1.2,0.49,3159|4171|4172|4173|4174|4193,HMGA1|MCM2|MCM3|MCM4|MCM5|MDM2,-1.8,0
1,-3.5,TRR01546,M1,1,0,TRRUST,34,Regulated by: YBX1,,-3.5,8.4,5.8,30242,36,500,5,1,0.44,892|1869|3838|5883|5932,CCNC|E2F1|KPNA2|RAD9A|RBBP8,-1.5,0
1,-3,TRR00130,M1,1,0,TRRUST,34,Regulated by: CREBBP,,-3,9,5.4,30242,27,500,4,0.8,0.4,2033|2146|5888|25988,EP300|EZH2|RAD51|HINFP,-1.1,0
1,-2.8,TRR00473,M1,1,0,TRRUST,34,Regulated by: HDAC7,,-2.8,13,5.8,30242,14,500,3,0.6,0.35,4208|4209|9794,MEF2C|MEF2D|MAML1,-1,0
1,-2.4,TRR00270,M1,1,0,TRRUST,34,Regulated by: EP300,,-2.4,4.9,4,30242,62,500,5,1,0.44,2146|4193|4609|5888|25988,EZH2|MDM2|MYC|RAD51|HINFP,-0.69,0
1,-2.1,TRR00233,M1,1,0,TRRUST,34,Regulated by: E2F4,,-2.1,7.3,4.1,30242,25,500,3,0.6,0.35,1017|4609|5888,CDK2|MYC|RAD51,-0.45,0
1,-2,TRR00004,M1,1,0,TRRUST,34,Regulated by: AHR,,-2,6.7,3.9,30242,27,500,3,0.6,0.35,405|4609|5983,ARNT|MYC|RFC3,-0.38,0
