_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-18,M29900,M1,1,0,Transcription Factor Targets,16,BANP TARGET GENES,,-18,4.2,12,30242,748,500,52,10,1.4,159|515|892|902|1432|2079|2224|3838|4507|4522|4869|5394|5514|5983|5985|6234|6637|6929|8243|8562|8602|9128|9277|9587|9774|10093|10285|10474|10772|23649|25926|28973|51433|51755|54606|54620|55272|55756|57223|57647|64318|79084|80152|84549|84928|84946|114791|114803|146909|158787|196441|221150,ADSS2|ATP5PB|CCNC|CCNH|MAPK14|ERH|FDPS|KPNA2|MTAP|MTHFD1|NPM1|EXOSC10|PPP1R10|RFC3|RFC5|RPS28|SNRPG|TCF3|SMC1A|DENR|NOP14|PRPF4|WDR46|MAD2L1BP|BCLAF1|ARPC4|SMNDC1|TADA3|SRSF10|POLA2|NOL11|MRPS18B|ANAPC5|CDK12|DDX56|FBXL19|IMP3|INTS9|PPP4R3B|DHX37|NOC3L|WDR77|CENPT|MAK16|TMEM209|LTV1|TUBGCP5|MYSM1|KIF18B|RIBC1|ZFC3H1|SKA3,-13,0
1,-17,M19064,M1,1,0,Transcription Factor Targets,16,E2F Q6,,-17,7.7,13,30242,236,500,30,6,1.1,1869|2146|3151|3837|4171|4172|4173|5424|5888|6241|6632|7023|8243|8899|9994|10527|10714|10849|11219|23636|23649|51496|55193|56946|63967|64785|84146|91746|140890|158787,E2F1|EZH2|HMGN2|KPNB1|MCM2|MCM3|MCM4|POLD1|RAD51|RRM2|SNRPD1|TFAP4|SMC1A|PRPF4B|CASP8AP2|IPO7|POLD3|POLR1G|TREX2|NUP62|POLA2|CTDSPL2|PBRM1|EMSY|CLSPN|GINS3|ZNF644|YTHDC1|SREK1|RIBC1,-13,0
1,-16,M9279,M1,1,0,Transcription Factor Targets,16,E2F1 Q6,,-16,7.4,13,30242,236,500,29,5.8,1,1869|2146|3159|3837|4171|4172|4173|4609|5424|6241|6632|7023|8243|8899|9994|10527|10714|10849|23636|23648|51496|55193|56946|63967|64785|84146|91746|140890|158787,E2F1|EZH2|HMGA1|KPNB1|MCM2|MCM3|MCM4|MYC|POLD1|RRM2|SNRPD1|TFAP4|SMC1A|PRPF4B|CASP8AP2|IPO7|POLD3|POLR1G|NUP62|SSBP3|CTDSPL2|PBRM1|EMSY|CLSPN|GINS3|ZNF644|YTHDC1|SREK1|RIBC1,-12,0
1,-16,M10115,M1,1,0,Transcription Factor Targets,16,E2F Q4,,-16,7.4,13,30242,238,500,29,5.8,1,1869|2146|3151|3837|4171|4172|4173|5424|5888|6241|6632|7023|8243|9994|10527|10714|10849|11219|23636|23649|51496|55193|56946|63967|64785|84146|91746|140890|158787,E2F1|EZH2|HMGN2|KPNB1|MCM2|MCM3|MCM4|POLD1|RAD51|RRM2|SNRPD1|TFAP4|SMC1A|CASP8AP2|IPO7|POLD3|POLR1G|TREX2|NUP62|POLA2|CTDSPL2|PBRM1|EMSY|CLSPN|GINS3|ZNF644|YTHDC1|SREK1|RIBC1,-12,0
1,-14,M12402,M1,1,0,Transcription Factor Targets,16,E2F1DP1 01,,-14,6.9,12,30242,238,500,27,5.4,1,1869|2146|3159|4171|4172|4173|4609|5424|6241|6632|7023|7862|8243|8899|9994|10527|10714|10849|23636|51496|55193|56946|63967|64785|84146|91746|158787,E2F1|EZH2|HMGA1|MCM2|MCM3|MCM4|MYC|POLD1|RRM2|SNRPD1|TFAP4|BRPF1|SMC1A|PRPF4B|CASP8AP2|IPO7|POLD3|POLR1G|NUP62|CTDSPL2|PBRM1|EMSY|CLSPN|GINS3|ZNF644|YTHDC1|RIBC1,-11,0
1,-14,M12555,M1,1,0,Transcription Factor Targets,16,E2F1DP2 01,,-14,6.9,12,30242,238,500,27,5.4,1,1869|2146|3159|4171|4172|4173|4609|5424|6241|6632|7023|7862|8243|8899|9994|10527|10714|10849|23636|51496|55193|56946|63967|64785|84146|91746|158787,E2F1|EZH2|HMGA1|MCM2|MCM3|MCM4|MYC|POLD1|RRM2|SNRPD1|TFAP4|BRPF1|SMC1A|PRPF4B|CASP8AP2|IPO7|POLD3|POLR1G|NUP62|CTDSPL2|PBRM1|EMSY|CLSPN|GINS3|ZNF644|YTHDC1|RIBC1,-11,0
1,-14,M17867,M1,1,0,Transcription Factor Targets,16,E2F 02,,-14,6.9,12,30242,238,500,27,5.4,1,1869|2146|3159|4171|4172|4173|4609|5424|6241|6632|7023|7862|8243|8899|9994|10527|10714|10849|23636|51496|55193|56946|63967|64785|84146|91746|158787,E2F1|EZH2|HMGA1|MCM2|MCM3|MCM4|MYC|POLD1|RRM2|SNRPD1|TFAP4|BRPF1|SMC1A|PRPF4B|CASP8AP2|IPO7|POLD3|POLR1G|NUP62|CTDSPL2|PBRM1|EMSY|CLSPN|GINS3|ZNF644|YTHDC1|RIBC1,-11,0
1,-14,M19298,M1,1,0,Transcription Factor Targets,16,E2F4DP2 01,,-14,6.9,12,30242,238,500,27,5.4,1,1869|2146|3159|4171|4172|4173|4609|5424|6241|6632|7023|7862|8243|8899|9994|10527|10714|10849|23636|51496|55193|56946|63967|64785|84146|91746|158787,E2F1|EZH2|HMGA1|MCM2|MCM3|MCM4|MYC|POLD1|RRM2|SNRPD1|TFAP4|BRPF1|SMC1A|PRPF4B|CASP8AP2|IPO7|POLD3|POLR1G|NUP62|CTDSPL2|PBRM1|EMSY|CLSPN|GINS3|ZNF644|YTHDC1|RIBC1,-11,0
1,-13,M10526,M1,1,0,Transcription Factor Targets,16,E2F4DP1 01,,-13,6.5,11,30242,242,500,26,5.2,0.99,1869|2146|3159|4171|4172|4173|4609|5424|6241|6632|7023|8243|8899|9994|10527|10714|10849|23636|51496|55193|56946|63967|64785|84146|91746|158787,E2F1|EZH2|HMGA1|MCM2|MCM3|MCM4|MYC|POLD1|RRM2|SNRPD1|TFAP4|SMC1A|PRPF4B|CASP8AP2|IPO7|POLD3|POLR1G|NUP62|CTDSPL2|PBRM1|EMSY|CLSPN|GINS3|ZNF644|YTHDC1|RIBC1,-9.9,0
1,-13,M29950,M1,1,0,Transcription Factor Targets,16,DYRK1A TARGET GENES,,-13,3.6,9.5,30242,774,500,46,9.2,1.3,515|892|1432|2079|2224|3209|3838|4869|5119|5514|5983|5985|6234|6599|6601|6929|7037|8562|8602|9013|9128|9277|9774|10025|10093|10285|10474|10768|10772|25926|26121|28973|51755|55272|55756|57223|57647|79084|80152|84549|84928|84946|114791|170463|196441|221150,ATP5PB|CCNC|MAPK14|ERH|FDPS|HOXA13|KPNA2|NPM1|CHMP1A|PPP1R10|RFC3|RFC5|RPS28|SMARCC1|SMARCC2|TCF3|TFRC|DENR|NOP14|TAF1C|PRPF4|WDR46|BCLAF1|MED16|ARPC4|SMNDC1|TADA3|AHCYL1|SRSF10|NOL11|PRPF31|MRPS18B|CDK12|IMP3|INTS9|PPP4R3B|DHX37|WDR77|CENPT|MAK16|TMEM209|LTV1|TUBGCP5|SSBP4|ZFC3H1|SKA3,-9.7,0
1,-12,M5000,M1,1,0,Transcription Factor Targets,16,E2F1 Q4,,-12,6.1,10,30242,249,500,25,5,0.97,1869|2079|2146|3151|3837|4173|4609|4967|5557|5888|8243|10221|11219|22893|23649|51077|54407|55119|55505|55756|56946|63967|112869|140890|158787,E2F1|ERH|EZH2|HMGN2|KPNB1|MCM4|MYC|OGDH|PRIM1|RAD51|SMC1A|TRIB1|TREX2|BAHD1|POLA2|FCF1|SLC38A2|PRPF38B|NOP10|INTS9|EMSY|CLSPN|SGF29|SREK1|RIBC1,-8.8,0
