"canonicalName","DEGREE","Gene","id","MCODE_CLUSTER_ID","MCODE_SCORE","MCODE_TYPE","name","selected","shared name","Symbol"
"WDR77","2.0","79084","79084","12.0","1.0","Clustered","79084","false","79084","WDR77"
"ERH","2.0","2079","2079","12.0","1.0","Clustered","2079","false","2079","ERH"
"CLNS1A","2.0","1207","1207","12.0","1.0","Clustered","1207","false","1207","CLNS1A"
"TFDP1","2.0","7027","7027","11.0","1.0","Clustered","7027","false","7027","TFDP1"
"MEF2C","2.0","4208","4208","11.0","1.0","Clustered","4208","false","4208","MEF2C"
"E2F1","2.0","1869","1869","11.0","1.0","Clustered","1869","false","1869","E2F1"
"RIBC1","2.0","158787","158787","7.0","1.1","Clustered","158787","false","158787","RIBC1"
"CYB5B","2.0","80777","80777","7.0","1.1","Clustered","80777","false","80777","CYB5B"
"EHMT1","2.0","79813","79813","7.0","1.1","Clustered","79813","false","79813","EHMT1"
"PBRM1","2.0","55193","55193","7.0","1.1","Clustered","55193","false","55193","PBRM1"
"CNOT1","2.0","23019","23019","7.0","1.1","Seed","23019","false","23019","CNOT1"
"PMF1","2.0","11243","11243","7.0","1.1","Clustered","11243","false","11243","PMF1"
"GNPAT","2.0","8443","8443","7.0","1.1","Clustered","8443","false","8443","GNPAT"
"TCF3","2.0","6929","6929","7.0","1.1","Clustered","6929","false","6929","TCF3"
"CNOT3","4.0","4849","4849","7.0","1.1","Clustered","4849","false","4849","CNOT3"
"MAPK14","2.0","1432","1432","7.0","1.1","Clustered","1432","false","1432","MAPK14"
"ZFC3H1","2.0","196441","196441","9.0","1.3333333333333333","Seed","196441","false","196441","ZFC3H1"
"MYSM1","2.0","114803","114803","9.0","1.3333333333333333","Clustered","114803","false","114803","MYSM1"
"VIRMA","4.0","25962","25962","9.0","1.3333333333333333","Clustered","25962","false","25962","VIRMA"
"IPO7","3.0","10527","10527","9.0","1.3333333333333333","Clustered","10527","false","10527","IPO7"
"PSMD3","3.0","5709","5709","9.0","1.3333333333333333","Clustered","5709","false","5709","PSMD3"
"KIF11","2.0","3832","3832","9.0","1.3333333333333333","Clustered","3832","false","3832","KIF11"
"ARID1A","3.0","8289","8289","10.0","1.6","Clustered","8289","false","8289","ARID1A"
"SMARCE1","3.0","6605","6605","10.0","1.6","Clustered","6605","false","6605","SMARCE1"
"SMARCC1","4.0","6599","6599","10.0","1.6","Clustered","6599","false","6599","SMARCC1"
"KMT2A","2.0","4297","4297","10.0","1.6","Clustered","4297","false","4297","KMT2A"
"CBFB","4.0","865","865","10.0","1.6","Seed","865","false","865","CBFB"
"SRFBP1","2.0","153443","153443","8.0","1.7777777777777777","Clustered","153443","false","153443","SRFBP1"
"MAK16","3.0","84549","84549","8.0","1.7777777777777777","Clustered","84549","false","84549","MAK16"
"RPF2","3.0","84154","84154","8.0","1.7777777777777777","Clustered","84154","false","84154","RPF2"
"DDX56","5.0","54606","54606","8.0","1.7777777777777777","Clustered","54606","false","54606","DDX56"
"CASC3","3.0","22794","22794","8.0","1.7777777777777777","Seed","22794","false","22794","CASC3"
"POLR1G","4.0","10849","10849","8.0","1.7777777777777777","Clustered","10849","false","10849","POLR1G"
"XPO1","5.0","7514","7514","8.0","1.7777777777777777","Clustered","7514","false","7514","XPO1"
