0_1,0_2,4_1,4_2,8_1,8_2,12_1,12_2,24_1,24_2,36_1,36_2,48_1,48_2,0_1,0_2,4_1,4_2,8_1,8_2,12_1,12_2,24_1,24_2,36_1,36_2,48_1,48_2
Ebf1,0.0240872847236459,0.023464442646405,0.0330627952746172,0.0314013318354407,0.0376188816955597,0.0356515217193245,0.0342762694012343,0.0345588055003543,0.02486470572276,0.0179243284754212,0.00285678227067186,0.00373547440159899,0.000695727991637023,0.00558344138880983,0.0251585856699633,0.0251474806178326,0.0226432207443909,0.02060200101146,0.0109620836625547,0.0140756073609328,-0.0132072375398442,-0.00675700065331479,-0.0542480292475501,-0.0562865772653356,-0.0732373698597177,-0.0725897352763903,-0.071473655332208,-0.073303803444374
Atf5,-0.0265488000457999,-0.0189225000439073,-0.030364471218369,-0.0338163229200001,-0.0437201158965016,-0.0429419373270631,-0.0554748561507682,-0.0551985458213083,-0.0605185418497892,-0.0725642356355436,-0.0318515602305155,-0.0383827867353138,-0.0280830153684955,-0.0319811798887109,-0.0281791611230782,-0.0241125327099713,-0.0200777731485467,-0.020994035700333,0.00218461559082651,-0.00353697239864588,0.028945501837215,0.0345700889088065,0.0941664276606305,0.089949348353515,0.0958748348123885,0.0984335721672149,0.0987100294519008,0.0973636428927712
Cebpg,-0.0475233505841761,-0.0357709239460203,-0.0437546060575089,-0.0467051645370259,-0.0400835754225695,-0.0463335246347052,-0.0510203063136473,-0.0524903561706276,-0.0553968567806179,-0.0740396020887406,-0.0211063478592099,-0.0276821122297668,-0.0123635375947309,-0.017391536939594,-0.0424083674312797,-0.0423551944923874,-0.039433790963855,-0.040518583201969,0.00883600060223833,0.000997222957858005,0.0488361491856977,0.0486340282817922,0.102178827319412,0.0991910786594179,0.0969251220809358,0.101129971168158,0.0998451116083549,0.100198909844831
Sfpi1,-0.0266869753422316,-0.028261452443732,-0.0230115055095945,-0.0229100334777048,-0.0145649850508466,-0.0141088596732465,-0.0123615917219837,-0.0107691854682157,0.00385931902520466,0.0108655587695441,0.0188653007836035,0.0173738182600657,0.0191801854277139,0.0167703431237498,-0.0244775165930528,-0.0209702714648411,-0.0159208089403472,-0.0208432314699526,0.0130278680396744,0.0121875496648113,0.013357345636418,0.018871904563377,0.0176456176241085,0.00603706637230529,0.00983673714601159,0.00854596628705988,0.0282642715007169,0.0252803104962507
Runx1,0.00716964847082379,0.00515913645763417,0.0158461685643129,0.0159376504703012,0.0262887622349365,0.0250987584473619,0.0234646175711452,0.0248355801354763,0.0203838196268012,0.0227796615457976,0.0229141336425996,0.0227717345587033,0.0247723467011694,0.0252537089758571,0.00658514569098392,0.0090810156696803,0.0052263548695998,0.00530916873013118,-0.00413292768061332,-0.00131475036554146,-0.0162107133377177,-0.0103932302809356,-0.0329407964327815,-0.03601162793323,-0.0487105703202621,-0.0481882426580654,-0.0535763861398018,-0.0549327496894358
Runx3,0.00716964847082379,0.00515913645763417,0.0158461685643129,0.0159376504703012,0.0262887622349365,0.0250987584473619,0.0234646175711452,0.0248355801354763,0.0203838196268012,0.0227796615457976,0.0229141336425996,0.0227717345587033,0.0247723467011694,0.0252537089758571,0.00658514569098392,0.0090810156696803,0.0052263548695998,0.00530916873013118,-0.00413292768061332,-0.00131475036554146,-0.0162107133377177,-0.0103932302809356,-0.0329407964327815,-0.03601162793323,-0.0487105703202621,-0.0481882426580654,-0.0535763861398018,-0.0549327496894358
Ctcf,0.0195054149142144,0.0178021363829934,0.0149789085359565,0.0149847965306116,-0.00550528686435413,-0.000202062245365502,-0.00422136190539243,-0.00491453195038543,-0.0116200173777203,-0.0149537723762027,-0.0320763777109013,-0.0298944565970931,-0.036705947351717,-0.0283475490576849,0.0164881083521999,0.0139858624983088,0.0194558762956833,0.0192934115579152,0.0118097652268743,0.0119072442773426,0.00184350100551337,-0.00288710555617354,-0.00574925507388181,0.00561496895520156,0.00304422914507858,0.00415341649015387,0.00352564288677803,0.00258195218532465
Cebpd,-0.047960013604139,-0.033911621676893,-0.0440763730593413,-0.0480279345614971,-0.036847791953745,-0.0445273999188324,-0.0511300455694488,-0.0539104389094243,-0.0582572990152238,-0.0749786111493419,-0.0146786248240741,-0.0215045346810907,-0.00768427176617095,-0.0165624955077097,-0.0444674845017679,-0.0502942185881949,-0.0400993570020473,-0.0432005747665022,0.015291736535325,0.00683667494675978,0.0560959019303233,0.0551582243109165,0.0956445287051572,0.0971413672879284,0.0914653510886364,0.0959679876177366,0.0980489733189977,0.0937535718509177
Cebpb,-0.047960013604139,-0.033911621676893,-0.0440763730593413,-0.0480279345614971,-0.036847791953745,-0.0445273999188324,-0.0511300455694488,-0.0539104389094243,-0.0582572990152238,-0.0749786111493419,-0.0146786248240741,-0.0215045346810907,-0.00768427176617095,-0.0165624955077097,-0.0444674845017679,-0.0502942185881949,-0.0400993570020473,-0.0432005747665022,0.015291736535325,0.00683667494675978,0.0560959019303233,0.0551582243109165,0.0956445287051572,0.0971413672879284,0.0914653510886364,0.0959679876177366,0.0980489733189977,0.0937535718509177
Jund,0.0131663724901511,0.0187992011928958,0.0199775535326089,0.0197613348480487,-0.00552569816219656,-0.00520108467931228,-0.0243279921660202,-0.0225893819347042,-0.0415046255832809,-0.0582671066331053,-0.0529142061540468,-0.0525512228332777,-0.0510457260647883,-0.0511357167162163,0.009609570863492,0.0105509867279996,0.0434673249190235,0.0428527835535535,0.0130892429174291,0.011644790942323,0.0133324790783145,0.011967961406176,0.0194580407823446,0.0175749154127863,0.0207861638797191,0.0249566641652087,0.0231758363597638,0.0221101535532712
