"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Myh7b",-5.48870598425997,2.67770941506251,-21.8596442998339,3.8353348125318e-20,9.95883037422008e-18,34.1889867315669
"Samd4",-2.96777131987338,5.39586890049117,-24.0773718483754,2.37835416724538e-21,9.08181533921963e-19,38.7850812544613
"Bcat1",-1.0632469772443,3.81974476768616,-12.4314635660026,1.89549593882648e-13,8.88419630822532e-12,20.3841431494105
"Spry4",-3.59192468961251,2.35833716989401,-26.8452541013459,1.00692985728369e-22,6.22522397005436e-20,41.3857492612119
"Etv4",-2.31333842082713,1.24081498508478,-14.6890509398577,2.40529151614023e-15,1.80508091063865e-13,25.0229295798381
"Gpr12",-7.64420976405539,1.1306294851558,-13.5761688356666,1.93841152790918e-14,1.11850652741533e-12,21.0084765825357
"Sapcd2",-1.18771984729281,4.86870307482745,-11.0848093146726,3.35232669633976e-12,1.16684336457316e-10,17.5237152562854
"Slc22a3",-2.34438333523502,4.20771925024112,-26.3408889119162,1.7509566003634e-22,1.01717285734224e-19,41.3855556040122
"Nrp1",-3.08100939163461,5.39210703950228,-22.9655393043189,9.30283229676239e-21,2.74496981156514e-18,37.3914840307973
"Lamc1",-2.23151353329405,7.0264608322424,-27.463034573174,5.17964391967518e-23,3.73596205606349e-20,42.6013249686206
"Sptb",-2.42629689892338,0.936607453669549,-7.78380579662672,1.00815267734458e-08,1.76399544608688e-07,10.0489973177552
"Rcor2",-1.41771527769623,3.7941776455357,-13.8801250918423,1.08293956246035e-14,6.68722525308955e-13,23.4141344508559
"Aebp1",-5.20531600527018,4.53760476157275,-35.1904417883553,3.46974002612846e-26,7.50793912653764e-23,48.8856802850654
"Tmem109",-1.16382272025911,5.72119394279095,-12.9753750809929,6.30243763537494e-14,3.2470058658759e-12,21.5100957162017
"Rin1",-1.32235813538076,1.84521495344545,-7.62859832029167,1.52068308110752e-08,2.54093030141814e-07,9.45474881957895
"Gpd1",-1.12696762544088,2.38893436107306,-7.98140022405088,5.99953330057552e-09,1.10328528103926e-07,10.3603564292041
"Etv5",-1.50435315243758,4.41647952518889,-13.4122740772632,2.66375723782522e-14,1.49067069908124e-12,22.4362098450868
"Plxna3",-1.3692527408232,2.54402539829168,-8.76616211359263,8.01918997164424e-10,1.78581721100956e-08,12.3544665754044
"Mex3a",-2.09090241660476,3.12786491947241,-19.0379372176133,1.93608223505028e-18,3.18179185539973e-16,32.1104469559875
"B3gnt7",-1.61894252394437,4.63686082037169,-14.6427150595518,2.61731064216159e-15,1.95290483144735e-13,24.7655232544296
"Plekha7",-4.15324357368656,0.897914241095925,-15.4452037184929,6.23255815116282e-16,5.43069144137899e-14,25.7733140640003
"Ass1",-1.08937984632674,6.46319460903135,-7.70830256145297,1.23085890253591e-08,2.09990028010825e-07,9.03021414807587
"Trim66",-1.575021942016,2.84226015200488,-9.46489386676381,1.42987425205121e-10,3.68334472507557e-09,14.0414479439371
"Plod2",-1.30224084405282,3.49194760863385,-9.31167857454989,2.0754498839837e-10,5.17189363603845e-09,13.5071001448636
"Syne3",-1.02720667086814,5.51947104327924,-8.32809568005652,2.44210276045577e-09,4.93860126775658e-08,10.806246250362
"Rtn4rl2",-3.51088048922331,1.14968305504892,-12.9821763938586,6.21753338509526e-14,3.21602533620286e-12,21.6318266692086
"Tnni3k",-6.51570678289949,-2.25615764211825,-5.60742691959726,4.02241543998344e-06,3.79527759137391e-05,2.6999926601165
