"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Pcyt1a",2.42386164217469,7.48450595583038,32.1562721642557,5.01055278976741e-25,3.927461207476e-21,47.1758263392887
"Itgb3",3.49335201894636,6.7233831504242,31.9516713776341,6.05015975887853e-25,3.927461207476e-21,46.8885291885244
"Siglecf",3.75608515109258,5.87865819977232,30.4687481147107,2.45722858729789e-24,1.06340662496295e-20,45.4184297858652
"Cd33",2.53715257652281,8.5448356125357,28.1409368372106,2.53710173048604e-23,6.58783835338005e-20,43.3135302150177
"Cd300lb",3.96814068149882,5.4736333391905,27.8559914525744,3.41800825046164e-23,7.39600018595724e-20,42.7069127689722
"Mpeg1",3.65093831646899,7.47341302828405,27.5242414463188,4.85315855755646e-23,7.71174026182877e-20,42.6271876717107
"Milr1",3.20508561844008,5.50998177133711,27.51588802386,4.8964354989681e-23,7.71174026182877e-20,42.4963614874111
"Alas1",2.35970933825401,7.01014981871269,27.1647022999899,7.12785050773667e-23,7.71174026182877e-20,42.2494453654713
"Itm2b",1.8412731410655,9.65374559459749,26.5772594696005,1.34942177814417e-22,1.23657584829245e-19,41.643900988185
"Stom",1.71534172653891,7.56699242624612,26.5252982128042,1.42868656892758e-22,1.23657584829245e-19,41.587232855286
"Sepp1",3.11956805729188,5.57706718113841,25.621727330927,3.92004070542203e-22,2.82743824880523e-19,40.4489497172558
"Ptplad2",4.12959621501484,4.79003565749834,25.2730830971972,5.83744879314967e-22,3.98882093060327e-19,39.7538682089485
"Itgb7",4.58472028075765,4.10859777736653,25.1979107706926,6.36494718533472e-22,4.13180546536003e-19,39.5191186763202
"Myo1f",2.48956054176169,7.02519184828885,24.8739593306345,9.26585593290231e-22,5.65964054939102e-19,39.7240278507371
"Idh1",2.22984266259772,7.62419568881577,24.8170587397501,9.90218590839765e-22,5.65964054939102e-19,39.657194106206
"Gas7",6.72993251344946,4.89359764468408,24.8063990922363,1.00263215463293e-21,5.65964054939102e-19,37.383033053655
"Thbs1",3.04052001359619,9.55317952687793,24.0999162571165,2.31484915241128e-21,1.11309950169465e-18,38.8002245551557
"Gsn",3.01198858428025,7.807551772653,23.9750295992102,2.6900439146892e-21,1.16995786652616e-18,38.6534726032664
"Clec12a",2.87295106546444,6.45945179520504,23.8815006475965,3.01173708154076e-21,1.22191820405137e-18,38.5450220026873
"Hdc",4.47511428262051,4.82802403415134,23.5929527565062,4.2782389275124e-21,1.68316290896647e-18,37.9454015619018
"Cd200r4",3.15739896382826,5.35622453497957,23.261540477734,6.43343858750423e-21,2.25744143733966e-18,37.7439231856597
"Tmem71",3.22579014782653,5.68015529778779,22.7544975401657,1.21323799500743e-20,3.42423236721336e-18,37.1464054486821
"Pld4",4.44379120119371,4.31249488970791,22.314839414368,2.12475513067816e-20,5.28696952907984e-18,36.2160549758701
"Plxnc1",3.36235209345644,4.4544949313163,22.3095488608455,2.13925842000421e-20,5.28696952907984e-18,36.3917091582519
"Ptafr",2.82633592674521,5.67635384181764,22.2881387247694,2.19900142163068e-20,5.28696952907984e-18,36.5558393434405
"Arl11",2.21524250086381,5.55568274730993,22.2168961303149,2.41048129030554e-20,5.6900506530976e-18,36.474685961471
"Sla",1.83633680203098,7.40358654126505,22.193802972995,2.48344529973863e-20,5.75760184401905e-18,36.4264387435782
"Tpp1",1.60757385721394,6.58612045732016,22.0988579883211,2.80819001298152e-20,6.30807089974549e-18,36.3230529896496
"Fcgr3",1.97307261026722,7.477001838093,21.420987951506,6.84679191970518e-20,1.27650271987782e-17,35.4179111114832
"Pld3",2.52533978783063,5.61129621877017,21.4161775311892,6.89084130436948e-20,1.27650271987782e-17,35.4203549092492
"St6gal1",2.72731503294171,4.57768876059675,21.4064515592068,6.98079743597974e-20,1.27650271987782e-17,35.386016385496
"Hpn",3.74952844171228,2.03757380001938,21.2742357840579,8.33108849872122e-20,1.38584885276526e-17,34.0506775858205
"Pqlc3",1.90674752417734,5.58165394336673,21.1586226704953,9.73193586518423e-20,1.57937154172109e-17,35.0871439171049
"Unc93b1",2.14871976696336,7.65873406566086,21.1201689206733,1.02499348220052e-19,1.62286468041577e-17,35.0013408163916
"Man2b1",1.63052860035781,8.21131230502183,20.6298668730667,2.00020781464187e-19,2.91783124241521e-17,34.313628561701
"Tfec",2.44126186400416,5.51181593765593,20.4711547029149,2.49088535935814e-19,3.51512658918986e-17,34.1358885220787
"Alox5ap",2.24203153893534,7.2432377755726,20.3506805274396,2.94514652142054e-19,3.9830038841253e-17,33.9568185512238
"Ptpn22",3.1285750918361,4.19747180476205,20.281494583404,3.2438201961196e-19,4.34170284600214e-17,33.6388513741495
"Uba7",2.89513572217204,4.46882490298875,20.1016840765319,4.17508137302281e-19,5.47526075413689e-17,33.5605038421319
"Gapt",3.52837192990155,5.53268648980687,20.03801143334,4.56753303568165e-19,5.836631133487e-17,33.4400899611004
"Mpp1",1.80488205084646,6.15554634799556,20.0352318870352,4.58550701390798e-19,5.836631133487e-17,33.5430684539563
"Lbp",2.54264504276789,5.61545611958849,19.9625162358818,5.0825538685658e-19,6.4064851335524e-17,33.4400914183079
