"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ebf1",-5.12990786313936,4.00495221274803,-38.6870045897278,2.07396843512705e-27,1.51212282932598e-23,50.8544395112779
"Hlf",-3.80854780433519,6.78209869523225,-38.5364951985076,2.32938893834396e-27,1.51212282932598e-23,52.3878415375203
"Flt3",-5.50581908501016,6.41095908586997,-36.2150640393566,1.47955726887435e-26,4.46783990536422e-23,49.9874578940628
"Sdc1",-4.07828619196607,7.22219045818534,-36.031538308759,1.72065004442895e-26,4.46783990536422e-23,50.3884087962497
"Ccr2",-4.26317851063425,7.9579258480734,-34.2848198025111,7.51848830332202e-26,1.22076400427215e-22,49.0564914647088
"Rgs8",-3.27995235497412,4.3188173336964,-31.7942614411803,7.00002971569537e-25,9.0881385798873e-22,46.5996983347461
"Igll1",-2.702553137686,5.86651913738531,-26.9226728220686,9.25733668475911e-23,6.00940010891137e-20,42.0214749132276
"Gas6",-5.17454143392032,4.9154421860258,-26.3149480135062,1.80196993906428e-22,1.01717285734224e-19,40.5744261836433
"Lgals9",-2.54119623401896,8.41440649138384,-26.24102294707,1.95592466831393e-22,1.05807374869666e-19,41.2667352066512
"Gm16897",-1.72788405979769,5.90973465243254,-26.1395859106103,2.18956322764972e-22,1.13708397538305e-19,41.1639711159373
"Cd34",-1.69285783461731,9.92920942547616,-25.9377712284363,2.74395797955157e-22,1.37018486340454e-19,40.9146459222035
"Rag2",-5.41262101800739,3.46553084724966,-24.1655592576069,2.13971209749176e-21,8.68121317554234e-19,38.2758049156209
"Cd72",-3.11074773793133,4.36448671205765,-23.6577605123392,3.95257035124698e-21,1.35791192688334e-18,38.0472093002059
"Angptl2",-3.34698590280927,4.79642481077054,-23.5681746358625,4.40995514273364e-21,1.46806275943874e-18,38.0344181604526
"Car2",-3.26818190991861,4.82506040371926,-23.232950208061,6.66551900207839e-21,2.01252170241823e-18,37.7267344358879
"2900026A02Rik",-1.93798414517708,6.53632282732033,-22.6103553480292,1.45635595167909e-20,4.11040637405426e-18,36.9528486388547
"Anxa2",-2.04095881932346,7.66822248588387,-22.4998282126879,1.67647334580361e-20,4.53451113511839e-18,36.8146278697569
"Cpt1a",-1.67989901591378,7.25752766112849,-22.4208984856209,1.85444566251102e-20,4.91352408905726e-18,36.7051826598335
"Siae",-1.43382522582615,6.37707548738714,-21.7989018614537,4.15324489326128e-20,1.05728585194532e-17,35.905340973163
