"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UBE2S",0,1.12746939341492,0.938,0.509,0
"HBM",2.0813773331804e-297,1.18281627603323,0.99,0.895,4.92786897403792e-293
"CALM3",2.59901604067689e-292,0.972987363933689,0.891,0.54,6.1534303779066e-288
"RHEB",4.84227786786938e-265,0.892917707307,0.799,0.441,1.14645770799675e-260
"TRIB3",1.91768533596315e-255,0.972482372831747,0.446,0.12,4.54031180142636e-251
"TUBA1B",1.86328574625752e-244,0.95779830000614,0.957,0.558,4.4115153328393e-240
"NUSAP1",2.0356755043506e-239,0.834169968907802,0.923,0.472,4.81966532410047e-235
"GNG5",4.34034481779757e-232,0.810247013809894,0.912,0.614,1.02762003906175e-227
"HIST1H4C",4.34489384628435e-228,1.05818364355139,0.937,0.613,1.02869706704628e-223
"HEMGN",5.88655558680441e-217,0.781724060597262,0.976,0.759,1.39370090073181e-212
"BTG3",1.43155614528927e-209,0.793791586466929,0.706,0.375,3.38935232958688e-205
"CKS1B",6.58159110763987e-205,0.739569033668228,0.76,0.398,1.55825751064481e-200
"PPDPF",4.48789473529518e-201,0.781403028882869,0.928,0.689,1.06255395752849e-196
"HIST1H3B",1.45360305503091e-200,0.870235754109235,0.702,0.348,3.44155059309119e-196
"CENPW",1.73536872584152e-199,0.783654848627467,0.762,0.412,4.10865899530239e-195
"PTTG1",6.64342509921297e-198,0.759588976668272,0.881,0.481,1.57289732648966e-193
"CDKN3",8.38868866079546e-189,0.696644342961319,0.803,0.431,1.98610592732993e-184
"SLC3A2",1.3726729338883e-181,0.748959023467691,0.875,0.597,3.24994043827393e-177
"GYPC",1.83817816161923e-181,0.511378091862238,0.988,0.947,4.35207061544969e-177
"HMGB2",5.2964739004833e-177,0.759231326882592,0.969,0.578,1.25399316067843e-172
"TSPO2",1.79908894832743e-171,0.678327724885919,0.839,0.535,4.25952299406001e-167
"DEK",1.9618790099274e-169,0.707447556817815,0.933,0.519,4.64494474390412e-165
"CDKN2D",8.58521868376249e-167,0.722186133211698,0.643,0.321,2.03263637556761e-162
"PTMS",2.94933338287477e-163,0.679585635753491,0.859,0.571,6.98284171729431e-159
"RPS27L",8.09725261003836e-163,0.863023087044946,0.923,0.702,1.91710552795268e-158
