,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FTL,1.78762457139756e-207,0.990387887215695,0.991,0.989,4.23237993524086e-203
GDF15,3.15431229908254e-133,1.6623610886878,0.868,0.501,7.46814979930782e-129
MT-CO2,4.55848317391402e-120,-1.29025697370563,0.821,0.961,1.07926647625588e-115
MT-CO1,5.20359494230943e-118,-1.08391297969936,0.934,0.976,1.23200313854118e-113
RPL27A,3.69205089868946e-105,-1.0077302581129,0.957,0.969,8.74129970773717e-101
FTH1,9.24760427998636e-96,0.536423841816978,0.994,0.993,2.18946278932957e-91
B2M,5.28974973419841e-95,0.68817298880799,0.967,0.928,1.25240114706881e-90
TMEM14B,1.32496704575009e-94,-0.899075635715872,0.8,0.931,3.13699197751792e-90
HNRNPA2B1,1.36236991369669e-90,-0.764038589891574,0.85,0.932,3.22554700766829e-86
MT-ATP6,5.21282197127173e-90,-1.05204097060307,0.826,0.963,1.23418772991829e-85
ALAS2,1.33003024758011e-88,0.549976387664957,0.99,0.973,3.14897961417067e-84
RPLP2,8.86950352339241e-88,-0.650550742708914,0.984,0.984,2.09994365419839e-83
MT-ND3,7.42408896389834e-87,-0.997119040433922,0.67,0.916,1.75772730309257e-82
HBA1,1.03806116401684e-86,0.535619248199809,0.997,0.997,2.45771361192627e-82
RPL27,1.60901638634026e-84,-0.882045730427901,0.894,0.941,3.8095071962992e-80
RPS23,5.04282736110469e-83,-1.06022618276254,0.981,0.978,1.19393980601515e-78
RPL10A,1.16603052437337e-82,-1.08261217913253,0.777,0.901,2.7606938695064e-78
RPSA,2.69880018743828e-82,-0.861360396289172,0.935,0.966,6.38967932377888e-78
HBA2,1.68788219115186e-81,0.563976737187368,1,0.999,3.99622987577114e-77
SRSF3,4.09701326357165e-81,-0.776517273811953,0.653,0.85,9.70008860283223e-77
RPS16,6.1432421184407e-80,-0.774313517793695,0.963,0.968,1.45447400396202e-75
MT-ND4,1.01130527527368e-79,-1.03926977111884,0.721,0.904,2.39436636973797e-75
MT-ND1,2.57767571823451e-79,-0.892629011060474,0.707,0.911,6.10290503049203e-75
RPS8,9.35993220352216e-78,-0.91526850489185,0.984,0.984,2.21605754850591e-73
RPS13,1.88289453218454e-77,-0.802629936895888,0.956,0.97,4.45794109440011e-73
RPL9,1.98897550511846e-76,-0.857176726065433,0.936,0.956,4.70909840591846e-72
RBM3,2.28431179779896e-76,-0.754341787755895,0.544,0.77,5.40833661246881e-72
RPS27L,1.49766226512735e-75,0.74403668023971,0.95,0.876,3.5458651789155e-71
EEF1A1,6.27560226709519e-75,-0.76212324809826,0.988,0.993,1.48581159275746e-70
RPS29,6.80199592757405e-75,-0.755530862554979,0.915,0.944,1.61044055581243e-70
RPL13A,6.64486723098489e-74,-0.909251851412961,0.971,0.975,1.57323876560798e-69
RPL37A,6.97493241281961e-74,-0.871946023905239,0.967,0.972,1.65138499805917e-69
MT-CYB,1.28339802508508e-73,-0.85202560746622,0.74,0.932,3.03857316419143e-69
RPLP1,5.32437692780308e-73,-0.725535900374975,0.985,0.987,1.26059948142666e-68
NME2,5.868299447047e-73,-1.0413334981014,0.237,0.555,1.38937857708285e-68
RPL18A,8.1437019652632e-73,-0.841118330884798,0.96,0.967,1.92810287729571e-68
GUK1,4.59903878001282e-72,0.583497400022793,0.964,0.937,1.08886842155584e-67
RPS25,1.945574215345e-71,-0.754439983227064,0.947,0.971,4.60634151225082e-67
RPL10,1.62518657335336e-70,-1.05518625096796,0.968,0.974,3.84779173107143e-66
RPL3,3.74649236834534e-70,-0.96185290048445,0.96,0.976,8.87019533129442e-66
RPL17,1.94682438414708e-69,-0.941484146611802,0.95,0.959,4.60930141190662e-65
RPS3,3.15357203632999e-67,-0.700991969162388,0.981,0.986,7.46639715321488e-63
MT-CO3,3.5961944195399e-67,-0.792171245422726,0.908,0.968,8.51434990770267e-63
ACSM3,7.44469091684716e-67,-0.76339432202439,0.104,0.397,1.76260502147273e-62
RPL7A,1.23543149662674e-66,-0.849253190035552,0.974,0.975,2.92500761141346e-62
RPL23,1.50639338570619e-66,-1.13579458227798,0.783,0.872,3.56653697999798e-62
RPS5,3.6117205588552e-66,-0.790634811375308,0.951,0.96,8.55110959514556e-62
RPS17,4.81919904669452e-66,-0.834659735767223,0.921,0.947,1.14099356629539e-61
RPS2,1.12777343129457e-65,-1.05553389940035,0.97,0.968,2.67011637593303e-61
RPL36A,1.64501905762885e-65,-0.642950305222679,0.974,0.976,3.89474712084207e-61
RPL13,1.91164654428281e-65,-0.875057947068078,0.979,0.981,4.52601435824397e-61
RPS18,3.95347821354397e-65,-0.950012511300359,0.967,0.965,9.36025501838671e-61
SRSF7,4.2781566361978e-64,-0.710396158863158,0.52,0.745,1.01289636518619e-59
RPLP0,1.46051542919576e-63,-0.756855750354825,0.967,0.972,3.45791633016389e-59
RPS15A,2.955528853301e-63,-0.595090642829925,0.982,0.986,6.99751011307544e-59
RPS12,6.07186458816841e-63,-0.719216812586898,0.988,0.989,1.43757465989475e-58
RPL7,6.31194756049744e-62,-0.825829982423115,0.906,0.945,1.49441670442337e-57
PRDX2,8.52680130614146e-62,-0.369706897140754,0.987,0.989,2.01880547724205e-57
HLA-A,2.09634232028049e-61,0.701917151798948,0.763,0.529,4.96330007749608e-57
SYNGR1,6.84136737639738e-61,-0.924087475149312,0.177,0.471,1.61976214003584e-56
RPS27,2.37964398396712e-60,-0.57011528678245,0.986,0.983,5.63404509644056e-56
