filename	num_maxima	area	dapi	yh2ax
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	89.251	197.037	167.966
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	117.482	322.298	172.339
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	99.613	264.762	173.506
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	68.849	263.508	166.253
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	162.153	240.241	174.970
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	74.238	213.947	156.244
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	80.455	216.299	168.303
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	103.481	225.531	170.899
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	91.093	205.070	167.954
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	70.093	237.399	160.424
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	62.218	255.317	176.147
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	148.798	278.955	174.494
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	84.369	259.348	183.926
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	97.541	248.934	187.607
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	117.436	245.032	177.307
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	92.659	263.951	179.271
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	2	115.916	228.022	311.049
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	133.002	342.678	174.941
211210_BD294_yh2ax_dmso100_REPS1-2-3_23_R3D_D3D.dv	0	90.402	200.071	181.951
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	71.152	254.560	172.172
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	56.645	254.953	159.613
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	68.619	288.387	165.370
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	97.725	267.537	181.679
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	79.718	284.570	170.892
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	1	76.172	256.937	165.090
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	140.094	257.511	183.068
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	76.586	246.454	171.839
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	80.685	243.678	175.350
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	155.844	302.919	170.428
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	72.442	266.418	155.731
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	166.758	341.579	165.365
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	1	100.442	267.891	186.086
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	56.553	172.885	182.526
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	1	96.251	194.594	191.063
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	134.199	370.471	183.256
211210_BD294_yh2ax_dmso100_REPS1-2-3_24_R3D_D3D.dv	0	136.962	343.856	170.395
