filename	num_maxima	area	dapi	yh2ax
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_141_R3D_D3D.dv	11	298.471	263.658	327.690
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_141_R3D_D3D.dv	3	151.883	241.532	390.117
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_141_R3D_D3D.dv	1	307.082	246.353	258.807
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_141_R3D_D3D.dv	7	297.227	236.094	304.616
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_141_R3D_D3D.dv	16	300.128	238.709	424.341
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_141_R3D_D3D.dv	2	240.950	219.474	290.562
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_142_R3D_D3D.dv	6	165.791	387.168	307.414
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_142_R3D_D3D.dv	0	264.575	295.632	257.663
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_142_R3D_D3D.dv	8	181.956	204.901	302.074
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_142_R3D_D3D.dv	5	105.646	199.245	288.067
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_142_R3D_D3D.dv	7	243.575	325.948	387.871
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_142_R3D_D3D.dv	8	212.075	321.753	399.108
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_143_R3D_D3D.dv	5	279.589	302.194	428.216
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_143_R3D_D3D.dv	9	359.859	244.524	319.968
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_143_R3D_D3D.dv	20	336.510	199.435	579.070
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_144_R3D_D3D.dv	5	356.544	204.772	340.382
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_144_R3D_D3D.dv	10	393.893	151.454	283.825
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_144_R3D_D3D.dv	3	311.181	275.754	388.965
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_145_R3D_D3D.dv	10	289.536	257.000	524.540
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_145_R3D_D3D.dv	0	255.457	309.896	254.803
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_146_R3D_D3D.dv	8	294.510	274.441	299.899
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_146_R3D_D3D.dv	2	252.233	287.372	345.239
