,1_DMSO_rep1,2_DMSO_rep2,3_DMSO_rep3,4_HU_rep1,5_HU_rep2,6_HU_rep3,7_dA_rep1,8_dA_rep2,9_dA_rep3,10_dC_rep1,11_dC_rep2,12_dC_rep3,13_dG_rep1,14_dG_rep2,15_dG_rep3,16_T_rep1,17_T_rep2,18_T_rep3,19_rA_rep1,20_rA_rep2,21_rA_rep3,22_rC_rep1,23_rC_rep2,24_rC_rep3,25_rG_rep1,26_rG_rep2,27_rG_rep3,28_rU_rep1,29_rU_rep2,30_rU_rep3,31_rU10_rep1,32_rU10_rep2,33_rU10_rep3,34_rot_rep1,35_rot_rep2,36_rot_rep3,37_rot_hxu_rep1,38_rot_hxui_rep2,39_rot_hxu_rep3
1-methylnicotinamide,-0.184913873000655,0.633329049381802,0,1.09462458896911,0.544927877481349,-0.561742782686312,0.191114673734906,-0.6954904552328,0.451608552725106,-0.504456084977224,0.761805797502115,-0.305499638953055,-1.3827063775311,0.353714413775754,0.551554353584219,0.397828871968848,-1.21348643003102,0.101839093026926,-0.309776133107257,-1.29150520696528,-1.53480352469443,-0.926112615180476,0.146855595993261,-0.359197597547625,-0.11534484306839,-0.456007362173688,-0.901249418853052,-0.305830299831065,0.188047489751374,-1.30794538524422,0.22967043118553,-0.894520315532821,-0.413193952213243,2.04076843254245,0.83046736964312,-0.692288578614055,-0.851024752471254,-0.240836763431072,0.656956374162835
2-hydroxyglutarate,0,-0.156510093948911,0.0235647550146009,-0.422802609007364,-0.553282782795998,-0.42098463015438,-0.250680055189236,-0.451773703655674,-0.486632707132672,-0.492260192134406,-0.421704679992195,-0.204524795085516,0.0698139785362904,-0.154914837444462,-0.49760189347774,-0.326939069130843,-0.493296091384679,-0.317727340751048,-0.974505300957429,-0.792382641438692,-0.999268376474944,-0.711236846985852,-0.563368402178662,-0.48559264918019,-0.599908012358445,-0.539747456811744,-0.70118567867509,-0.421851605466289,-0.537050066396374,-0.605425417866467,-1.52993342081616,-1.18224309500031,-1.17811841067921,-1.01758189843846,-0.991649328404971,-1.06210279570204,-2.05925062638443,-2.14574796320367,-1.95717705420989
2,3-BPG,-0.323883563144297,0.405423573457664,0,-1.3546793424534,-2.63340881489543,-1.32916549417523,-3.17589272521294,-2.73500538225395,-2.7301943595811,-0.391828578504854,-1.17738539041988,-0.280407056968233,-2.75005403027295,-1.9214485865663,-1.90916773910056,-2.33180809210276,-3.2288217582794,-1.65876140134902,-1.86421296263626,-1.54078334045399,-2.37126574308522,-0.699004305167249,-1.08807703404451,-1.07066529794834,-1.42793231219435,-1.14836817739266,-1.7157521504912,-0.890015528143713,-2.54802866287945,-1.27026547405939,-2.95864547996559,-4.88704652361579,-1.97249975316379,-6.11051835954278,-6.07613579656085,-6.21761803285591,-7.13995894737178,-6.87136864984559,-5.5048822981878
3-phosphoglycerate,-1.91308594542341,0,0.0374271364673674,-0.820031646345123,-2.83560441721379,-0.753121634541832,-1.7100733882253,-3.06144832864202,-1.81212016233672,-0.861119899534955,-1.10087257195277,-0.999771436147846,-3.11874003416217,-1.25544049787887,-0.910810062647533,-2.15026572445084,-3.58443437756616,-1.89281913723319,-1.20703618929988,-0.906244398023554,-1.02877644927587,-1.10178139652041,-0.797702646318091,-0.917862643969772,-0.638626372272259,-0.660967831252946,-0.432869167902354,-0.473145023194959,-0.799357927261675,-0.775380193391602,-0.926704023262793,-2.21480976966,-0.527262405972861,-2.67568134085689,-3.12323117580957,-2.70840125428973,-2.26769332737826,-2.72357943445237,-2.41897120253195
3-ureidopropionate,-0.00131955168101079,0,0.0771294385306967,-0.670450573554547,-0.521572968918158,-0.653696206162793,-0.923774708059836,-0.91582533545366,-0.841807190695782,-0.392356585498521,-0.390396665574368,-0.112991347134626,-1.27018547472965,-1.42719151160297,-1.37141265727924,-0.579007936307736,-0.879936584112949,-0.610964802477816,-0.40723434387396,-0.25049261900511,-0.319027323600622,-0.490553049129355,-0.593038953135968,-0.486432679089838,-1.04981385453897,-1.35227595881673,-1.26221911172029,-0.162624887504864,-0.309469265803748,-0.22949798136337,-0.675263473854382,-0.538030096835638,-0.351655336448363,-1.45342397397718,-1.62950671582999,-1.55744015791802,-1.55436019154553,-1.60519732938703,-1.47588097817408
6-phosphogluconate,0,-0.0744223094465481,0.939208718463201,0.638718645290846,1.11786809922343,0.892923615589424,1.30394460278831,1.13995367787899,1.3210989105687,0.937486354078486,0.643837061700516,0.673663905736477,0.394840526728017,0.402393831269453,0.572469852926657,0.485987774808567,0.210278460788589,0.855023058877651,2.2264116991237,2.18331480259755,2.18902145711016,0.62351417568241,0.792857467605469,0.236165584103273,0.688398913712093,-0.09962594529312,0.538503196035472,-1.13864856516405,0.655222217233254,0.686142983717639,-0.967611440420925,-0.789364914893243,-1.47148937659092,-3.86543748410466,-4.17508745974314,-4.12450383932093,-2.90077047106738,-2.69595883901666,-3.99354050718381
acetyl-CoA,-0.515190553517338,0.0887128902994295,0,-2.89452767455862,-0.467538993637992,-0.274673153232426,-0.109677079926414,-0.471326448900497,0.209121229709327,-0.0844358540794794,-0.347253679418414,0.0567339141144011,-1.4694877086153,-1.2837236343347,-1.51681873590431,-0.348510685740928,-0.815290049226908,-0.264038366807879,-1.93967620910073,-0.27400490209457,-0.896313906865923,-0.938738369188595,-0.863991231062311,-0.830896202988553,-0.752872806378926,-1.2843174914317,-0.623791223666216,-0.716572720482037,-0.611247786191307,-0.604280657354076,-2.65581627333711,-1.21348405430335,-0.93711344810747,-4.67439842217802,-4.38928989990158,-3.58546459696328,-5.44530109054185,NA,-6.52779387266292
acetylcarnitine,0,-0.0287464655469043,0.100328946076287,-0.188363966372913,-0.148501286248084,-0.357606702622522,-0.544850940063218,-0.610738434232248,-0.561234721048111,0.0228555827016821,-0.0896131991036308,0.0881425880687185,-0.191299264458953,-0.402843534881587,-0.305659695881137,-0.178031486727296,-0.420011293816631,-0.0309809490006493,-0.269101372935745,-0.167114158685488,-0.117263542144512,-0.360205653634455,-0.447172492714499,-0.416865895378043,-0.173150506818024,-0.297464421870253,-0.315669052701659,-0.0767360365736325,-0.301483244484804,-0.153538563805177,-0.880524044295577,-0.802110415889309,-0.728709318207404,0.154292952296552,0.277290156084182,0.254473800511188,-0.258350474734551,-0.306346801865035,-0.314071053753405
acetylserine,0.0369441756538732,-0.0610752998753901,0,0.800306596756655,0.670066605941729,0.850290607407978,-1.085781784698,-1.1881028049067,-1.0113516357074,-0.361899176737178,-0.372321238972529,-0.229555488549221,-2.43536714089502,-2.81500428092211,-2.66003477373615,-0.920547609537202,-1.01918840721932,-0.576127169056628,-0.767222396549417,-0.601337819604971,-0.632418114628803,-0.595461355027788,-0.607240043596528,-0.495003737868451,-2.6907251510496,-2.6092063102742,-2.71079828449493,-0.27952690225797,-0.356691730319032,-0.38587539242355,-1.02338832292486,-0.650813161218744,-0.737648221526846,-2.55557645120059,-2.49218363519385,-2.64956817224555,-3.66512721736607,-3.63321056833461,-3.63321056833461
adenine,-0.0832981885600008,0.390405148701539,0,0.509682662451764,-0.174393050891097,0.171475769141032,0.565837255629569,0.916042810532841,0.396163874158457,-0.96282370390133,0.312107501842608,0.416226324166517,0.166696076007889,0.606884430044464,0.949595333775172,0.182399931493403,-0.0232709304183216,-0.324273074646602,9.84208283109239,10.2394890976514,10.2930076089441,3.11772643812793,0.706433230090974,0.971880211379713,1.35110565746845,0.606215701685591,0.524254826394285,-0.0412195893762556,0.178803845313713,-0.265118109899816,0.432463653785217,0.560206343634723,1.18351663539979,1.25875166584115,1.41340616372497,1.63553995746673,2.1342343949256,1.19381915050227,2.2303911367117
