name,cell_line,drug,time,replicate,filename
BD287_THP1_0h_rep1,thp1,DMSO,0,1,211115Van_D21-306001_NA_sequence.gz
BD287_THP1_0h_rep2,thp1,DMSO,0,2,211115Van_D21-306002_NA_sequence.gz
BD287_THP1_0h_rep3,thp1,DMSO,0,3,211115Van_D21-306003_NA_sequence.gz
BD287_THP1_0h_rep4,thp1,DMSO,0,4,211115Van_D21-306004_NA_sequence.gz
BD287_THP1_BRQ500nM_4h_rep1,thp1,BRQ_500,4,1,211115Van_D21-306005_NA_sequence.gz
BD287_THP1_BRQ500nM_4h_rep2,thp1,BRQ_500,4,2,211115Van_D21-306006_NA_sequence.gz
BD287_THP1_BRQ500nM_4h_rep3,thp1,BRQ_500,4,3,211115Van_D21-306007_NA_sequence.gz
BD287_THP1_BRQ500nM_4h_rep4,thp1,BRQ_500,4,4,211115Van_D21-306008_NA_sequence.gz
BD287_THP1_BRQ500nM_8h_rep1,thp1,BRQ_500,8,1,211115Van_D21-306009_NA_sequence.gz
BD287_THP1_BRQ500nM_8h_rep2,thp1,BRQ_500,8,2,211115Van_D21-306010_NA_sequence.gz
BD287_THP1_BRQ500nM_8h_rep3,thp1,BRQ_500,8,3,211115Van_D21-306011_NA_sequence.gz
BD287_THP1_BRQ500nM_8h_rep4,thp1,BRQ_500,8,4,211115Van_D21-306012_NA_sequence.gz
BD287_THP1_BRQ500nM_24h_rep1,thp1,BRQ_500,24,1,211115Van_D21-306013_NA_sequence.gz
BD287_THP1_BRQ500nM_24h_rep2,thp1,BRQ_500,24,2,211115Van_D21-306014_NA_sequence.gz
BD287_THP1_BRQ500nM_24h_rep3,thp1,BRQ_500,24,3,211115Van_D21-306015_NA_sequence.gz
BD287_THP1_BRQ500nM_24h_rep4,thp1,BRQ_500,24,4,211115Van_D21-306016_NA_sequence.gz
BD287_THP1_HU1mM_4h_rep1,thp1,HU_1,4,1,211115Van_D21-306017_NA_sequence.gz
BD287_THP1_HU1mM_4h_rep2,thp1,HU_1,4,2,211115Van_D21-306018_NA_sequence.gz
BD287_THP1_HU1mM_4h_rep3,thp1,HU_1,4,3,211115Van_D21-306019_NA_sequence.gz
BD287_THP1_HU1mM_4h_rep4,thp1,HU_1,4,4,211115Van_D21-306020_NA_sequence.gz
BD287_THP1_HU1mM_8h_rep1,thp1,HU_1,8,1,211115Van_D21-306021_NA_sequence.gz
BD287_THP1_HU1mM_8h_rep2,thp1,HU_1,8,2,211115Van_D21-306022_NA_sequence.gz
BD287_THP1_HU1mM_8h_rep3,thp1,HU_1,8,3,211115Van_D21-306023_NA_sequence.gz
BD287_THP1_HU1mM_8h_rep4,thp1,HU_1,8,4,211115Van_D21-306024_NA_sequence.gz
