Gene,Non-leukemia,Leukemia,Leukemia/Non-leukemia
A1BG,0.090898089,0.100910283,0.010012194
A1CF,0.075957171,0.072385112,-0.003572058
A2M,-0.044317199,-0.033805786,0.010511414
A2ML1,0.171065283,0.151440426,-0.019624857
A3GALT2,-0.05305735,-0.044832601,0.008224749
A4GALT,-0.044615331,-0.02277175,0.021843582
A4GNT,0.101690167,0.091691623,-0.009998544
AAAS,-0.526093502,-0.535625888,-0.009532386
AACS,0.05731458,0.080996028,0.023681449
AADAC,0.144212429,0.13293763,-0.011274799
AADACL2,0.157245086,0.194847016,0.03760193
AADACL3,-0.033027092,-0.040063811,-0.007036718
AADACL4,-0.027068313,0.028756407,0.055824719
AADAT,0.066596736,0.043383395,-0.023213341
AAED1,-0.038244489,0.026877345,0.065121834
AAGAB,0.018930465,-0.027023205,-0.045953669
AAK1,-0.310763018,-0.226705483,0.084057535
AAMDC,-0.029489498,-0.043229261,-0.013739764
AAMP,-0.818784957,-0.806180457,0.0126045
AANAT,-0.190126876,-0.195476743,-0.005349867
AAR2,-0.04914659,-0.111519771,-0.062373181
AARD,-0.225486354,-0.190414379,0.035071975
AARS,-1.708782176,-1.759980796,-0.05119862
AARS2,-0.785500321,-0.737508745,0.047991577
AARSD1,-0.250024988,-0.210707074,0.039317914
AASDH,-0.059791802,-0.014741406,0.045050396
AASDHPPT,-0.572590959,-0.352053885,0.220537075
AASS,0.150368239,0.123713725,-0.026654514
AATF,-0.652190517,-0.600030257,0.052160259
AATK,-0.178463268,-0.140441532,0.038021736
ABAT,-0.048938503,-0.131860011,-0.082921508
ABCA1,-0.036188559,-0.021626726,0.014561834
ABCA10,0.22092162,0.256046868,0.035125248
ABCA12,-0.076721975,-0.044220749,0.032501226
ABCA13,0.021331026,0.030101445,0.008770419
ABCA2,-0.016047616,-0.060611241,-0.044563625
ABCA3,-0.050249467,-0.051346733,-0.001097266
ABCA4,-0.124114296,-0.069314551,0.054799745
ABCA5,-0.091591059,-0.087898528,0.003692531
