id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FIP1L1	10	2.1549e-16	3.054e-06	4.3e-05	1	10	-2.7977	1.0	1.0	1.0	1620	0	-2.7977
VARS	10	6.5952e-16	3.054e-06	4.3e-05	2	10	-3.734	1.0	1.0	1.0	1619	0	-3.734
MRPL34	10	8.853e-15	3.054e-06	4.3e-05	3	10	-1.7089	1.0	1.0	1.0	1617	0	-1.7089
CNOT3	10	6.4418e-14	3.054e-06	4.3e-05	4	10	-2.4358	1.0	1.0	1.0	1618	0	-2.4358
MRPS33	10	3.7639e-13	3.054e-06	4.3e-05	5	10	-1.4521	0.99999	1.0	1.0	1595	0	-1.4521
COG3	10	6.3773e-13	3.054e-06	4.3e-05	6	8	-2.8874	0.94049	0.9755	1.0	1440	1	-2.8874
AARS	10	3.2273e-12	3.054e-06	4.3e-05	7	10	-3.2007	1.0	1.0	1.0	1601	0	-3.2007
GYPE	10	3.8418e-12	3.054e-06	4.3e-05	8	9	-2.3985	0.99994	1.0	1.0	1584	0	-2.3985
ATR	10	4.523e-12	3.054e-06	4.3e-05	9	10	-1.838	1.0	1.0	1.0	1615	0	-1.838
POLRMT	10	5.3319e-12	3.054e-06	4.3e-05	10	10	-1.6361	1.0	1.0	1.0	1599	0	-1.6361
HSD17B10	10	1.2465e-11	3.054e-06	4.3e-05	11	10	-1.5062	1.0	1.0	1.0	1612	0	-1.5062
FARSB	10	2.8367e-11	3.054e-06	4.3e-05	12	10	-2.8368	0.99999	1.0	1.0	1596	0	-2.8368
ABCB7	10	3.0384e-11	3.054e-06	4.3e-05	13	10	-1.4815	1.0	1.0	1.0	1616	0	-1.4815
MRPS17	10	3.8769e-11	3.054e-06	4.3e-05	14	9	-1.5417	0.99756	0.99863	1.0	1544	0	-1.5417
MRPL43	10	7.2505e-11	3.054e-06	4.3e-05	15	10	-1.3789	1.0	1.0	1.0	1602	0	-1.3789
TRMT10C	10	7.6169e-11	3.054e-06	4.3e-05	16	10	-1.8226	1.0	1.0	1.0	1606	0	-1.8226
ICT1	10	9.749e-11	3.054e-06	4.3e-05	17	10	-1.5025	1.0	1.0	1.0	1604	0	-1.5025
MRPL10	10	1.9133e-10	3.054e-06	4.3e-05	18	10	-1.4377	1.0	1.0	1.0	1605	0	-1.4377
KDM1A	10	1.9913e-10	3.054e-06	4.3e-05	19	7	-1.443	0.66266	0.85873	1.0	1207	2	-1.443
IARS2	10	2.2764e-10	3.054e-06	4.3e-05	20	9	-2.5287	0.99988	0.99999	1.0	1579	0	-2.5287
MRPS18A	10	2.3442e-10	3.054e-06	4.3e-05	21	9	-1.3253	0.9819	0.98746	1.0	1486	1	-1.3253
MRPL33	10	2.7702e-10	3.054e-06	4.3e-05	22	9	-1.5725	0.99952	0.99985	1.0	1568	0	-1.5725
NOL6	10	4.2594e-10	3.054e-06	4.3e-05	23	10	-2.1768	1.0	1.0	1.0	1614	0	-2.1768
MRPS31	10	5.3326e-10	3.054e-06	4.3e-05	24	8	-1.26	0.61531	0.82565	1.0	1173	1	-1.26
GYPB	10	5.5787e-10	3.054e-06	4.3e-05	25	10	-1.3975	1.0	1.0	1.0	1613	0	-1.3975
MRPS9	10	6.8701e-10	3.054e-06	4.3e-05	26	9	-1.5847	0.13637	0.31732	0.982683	532	1	-1.5847
DBR1	10	8.2242e-10	3.054e-06	4.3e-05	27	10	-1.3582	1.0	1.0	1.0	1608	0	-1.3582
RPL36A	10	1.5513e-09	3.054e-06	4.3e-05	28	10	-1.0481	1.0	1.0	1.0	1610	0	-1.0481
HSPE1-MOB4	10	2.096e-09	3.054e-06	4.3e-05	29	9	-2.0806	0.99964	0.99989	1.0	1569	0	-2.0806
TAF2	10	3.2689e-09	3.054e-06	4.3e-05	30	8	-1.8564	0.9524	0.97852	1.0	1451	1	-1.8564
HARS	10	8.8928e-09	3.054e-06	4.3e-05	31	7	-2.453	0.69447	0.87242	1.0	1240	3	-2.453
C12orf45	10	1.3145e-08	3.054e-06	4.3e-05	32	8	-1.6655	0.98307	0.98746	1.0	1489	1	-1.6655
NDUFB4	10	1.3148e-08	3.054e-06	4.3e-05	33	9	-1.2328	0.99917	0.99969	1.0	1564	0	-1.2328
DHX37	10	1.4033e-08	3.054e-06	4.3e-05	34	9	-1.9264	0.98434	0.98831	1.0	1490	1	-1.9264
RPL36A-HNRNPH2	10	1.7338e-08	3.054e-06	4.3e-05	35	10	-0.93262	1.0	1.0	1.0	1609	0	-0.93262
ATP5J2	10	1.9275e-08	3.054e-06	4.3e-05	36	8	-1.1017	0.95709	0.97951	1.0	1456	1	-1.1017
RPP30	10	4.8626e-08	3.054e-06	4.3e-05	37	10	-1.5962	1.0	1.0	1.0	1611	0	-1.5962
TAMM41	10	5.1943e-08	3.054e-06	4.3e-05	38	8	-1.5748	0.98931	0.99308	1.0	1502	0	-1.5748
UBA3	10	5.8413e-08	3.054e-06	4.3e-05	39	9	-1.2827	0.92058	0.97094	1.0	1426	1	-1.2827
HSPE1	10	6.6575e-08	3.054e-06	4.3e-05	40	8	-1.9205	0.98671	0.98977	1.0	1496	1	-1.9205
DDX21	10	7.7103e-08	3.054e-06	4.3e-05	41	9	-1.2792	0.99901	0.99967	1.0	1563	0	-1.2792
C3orf17	10	8.3024e-08	3.054e-06	4.3e-05	42	10	-1.4367	1.0	1.0	1.0	1607	0	-1.4367
NDUFB10	10	1.0183e-07	3.054e-06	4.3e-05	43	9	-0.77351	0.97983	0.98697	1.0	1483	1	-0.77351
PTCD1	8	1.1527e-07	3.054e-06	4.3e-05	44	6	-1.1609	0.91946	0.95406	1.0	1424	1	-1.1609
RCL1	10	1.4373e-07	3.054e-06	4.3e-05	45	8	-1.1233	0.95137	0.97851	1.0	1450	1	-1.1233
RIOK2	10	1.5967e-07	3.054e-06	4.3e-05	46	9	-1.7953	0.98965	0.99328	1.0	1506	0	-1.7953
GRSF1	10	1.7395e-07	3.054e-06	4.3e-05	47	8	-1.0031	0.56437	0.80577	1.0	1136	1	-1.0031
NUTM1	10	1.9402e-07	3.054e-06	4.3e-05	48	6	-0.78955	0.62117	0.8332	1.0	1179	3	-0.78955
NOP10	10	1.9402e-07	3.054e-06	4.3e-05	49	7	-1.0967	0.85299	0.94368	1.0	1367	2	-1.0967
CHEK1	10	2.3035e-07	3.054e-06	4.3e-05	50	7	-1.0429	0.99098	0.99494	1.0	1514	0	-1.0429
ZFC3H1	10	2.3794e-07	3.054e-06	4.3e-05	51	9	-0.85945	0.87181	0.95148	1.0	1385	1	-0.85945
RUVBL1	10	2.8326e-07	3.054e-06	4.3e-05	52	10	-2.3999	1.0	1.0	1.0	1603	0	-2.3999
EIF4G2	20	2.9044e-07	3.054e-06	4.3e-05	53	14	-0.89852	0.86096	0.9772	1.0	1374	3	-0.89852
DIMT1	10	2.9432e-07	3.054e-06	4.3e-05	54	8	-1.3654	0.99454	0.99675	1.0	1526	0	-1.3654
ATP5J2-PTCD1	9	3.3383e-07	3.054e-06	4.3e-05	55	7	-0.99258	0.94121	0.96974	1.0	1441	1	-0.99258
SMARCE1	10	3.4906e-07	3.054e-06	4.3e-05	56	8	-1.1899	0.95907	0.98009	1.0	1458	1	-1.1899
TAF1	10	3.7019e-07	3.054e-06	4.3e-05	57	10	-0.78723	0.99999	1.0	1.0	1594	0	-0.78723
XPO1	10	3.8209e-07	3.054e-06	4.3e-05	58	10	-1.1898	0.99997	1.0	1.0	1590	0	-1.1898
NOC3L	10	3.9931e-07	3.054e-06	4.3e-05	59	10	-0.79739	0.99999	1.0	1.0	1593	0	-0.79739
MRPS23	10	4.028e-07	3.054e-06	4.3e-05	60	7	-1.2401	0.99503	0.99721	1.0	1528	0	-1.2401
CARS	10	6.9243e-07	3.054e-06	4.3e-05	61	6	-0.78945	0.41422	0.68144	1.0	980	3	-0.78945
EP300	10	7.9154e-07	3.054e-06	4.3e-05	62	9	-0.8408	0.99994	1.0	1.0	1583	0	-0.8408
TCF3	10	8.5731e-07	3.054e-06	4.3e-05	63	8	-1.1685	0.93157	0.97384	1.0	1435	1	-1.1685
MRPL37	10	9.4167e-07	3.054e-06	4.3e-05	64	9	-1.4464	0.99996	1.0	1.0	1588	0	-1.4464
NUDC	10	1.2199e-06	3.054e-06	4.3e-05	65	9	-0.75064	0.56231	0.8038	1.0	1135	1	-0.75064
RPL11	10	1.7513e-06	3.054e-06	4.3e-05	66	8	-0.99995	0.89948	0.96015	1.0	1407	1	-0.99995
GPI	10	2.53e-06	3.054e-06	4.3e-05	67	9	-0.86205	0.80321	0.92577	1.0	1336	1	-0.86205
MRPS18B	9	2.7374e-06	3.054e-06	4.3e-05	68	7	-1.0395	0.99811	0.99932	1.0	1550	0	-1.0395
NDUFA8	10	2.8006e-06	3.054e-06	4.3e-05	69	9	-0.71838	0.99993	1.0	1.0	1582	0	-0.71838
EXOSC8	10	2.8123e-06	3.054e-06	4.3e-05	70	10	-0.97005	1.0	1.0	1.0	1600	0	-0.97005
ZCCHC9	10	2.9211e-06	3.054e-06	4.3e-05	71	8	-1.4158	0.99305	0.99592	1.0	1518	0	-1.4158
SAE1	10	3.3205e-06	3.054e-06	4.3e-05	72	9	-1.2874	0.99974	0.99995	1.0	1571	0	-1.2874
MBD6	10	3.5373e-06	3.054e-06	4.3e-05	73	9	-0.84903	0.73694	0.90058	1.0	1277	1	-0.84903
UTP6	10	3.5934e-06	3.054e-06	4.3e-05	74	8	-1.3021	0.63356	0.83861	1.0	1189	1	-1.3021
