id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CD14	10	3.899e-20	3.054e-06	0.00016	1	10	-3.2036	1.0	1.0	1.0	1619	0	-3.2036
NCOA6	10	3.4734e-18	3.054e-06	0.00016	2	10	-2.6351	1.0	1.0	1.0	1620	0	-2.6351
CCDC6	10	1.5031e-15	3.054e-06	0.00016	3	9	-2.246	0.99933	0.99862	1.0	1596	0	-2.246
PDCL	10	2.673e-15	3.054e-06	0.00016	4	10	-2.582	1.0	1.0	1.0	1612	0	-2.582
STAT3	10	5.3855e-14	3.054e-06	0.00016	5	10	-1.5474	1.0	1.0	1.0	1616	0	-1.5474
ARNT	10	1.8794e-12	3.054e-06	0.00016	6	9	-2.3242	0.9374	0.93151	1.0	1486	1	-2.3242
MBTPS2	10	2.6408e-12	3.054e-06	0.00016	7	10	-2.3172	1.0	1.0	1.0	1618	0	-2.3172
DBR1	10	8.0204e-12	3.054e-06	0.00016	8	10	-1.9799	1.0	1.0	1.0	1617	0	-1.9799
NSD1	10	1.2794e-11	3.054e-06	0.00016	9	10	-1.8274	1.0	1.0	1.0	1614	0	-1.8274
MBD6	10	7.4105e-10	3.054e-06	0.00016	10	8	-1.3158	0.63415	0.65818	0.862503	1237	2	-1.3158
VPS72	10	8.0981e-10	3.054e-06	0.00016	11	8	-1.5293	0.1326	0.15175	0.458117	509	1	-1.5293
UBR5	10	1.5458e-09	3.054e-06	0.00016	12	9	-1.519	0.93479	0.93082	1.0	1484	1	-1.519
RPN2	10	6.6134e-09	3.054e-06	0.00016	13	7	-1.5007	0.87638	0.86568	0.979877	1435	2	-1.5007
FOS	20	6.7799e-09	3.054e-06	0.00016	14	11	-0.19666	0.5599	0.60335	0.826353	1176	4	-0.19666
FAM122A	10	8.9314e-09	3.054e-06	0.00016	15	8	-1.3874	0.99968	0.99936	1.0	1599	0	-1.3874
AHR	10	9.9082e-09	3.054e-06	0.00016	16	9	-1.9091	0.98987	0.97693	1.0	1550	1	-1.9091
CNOT10	10	1.2207e-08	3.054e-06	0.00016	17	8	-1.1293	0.98653	0.97225	1.0	1538	1	-1.1293
CDKN1A	10	1.3546e-08	3.054e-06	0.00016	18	10	-0.85028	1.0	1.0	1.0	1615	0	-0.85028
COG3	10	3.103e-08	3.054e-06	0.00016	19	8	-1.4456	0.91755	0.91182	1.0	1472	1	-1.4456
JUNB	9	4.5541e-08	3.054e-06	0.00016	20	8	-1.1549	0.98753	0.97416	1.0	1542	0	-1.1549
SPI1	10	1.0526e-07	3.054e-06	0.00016	21	9	-2.2162	0.99841	0.99696	1.0	1587	0	-2.2162
FARSB	10	1.7945e-07	3.054e-06	0.00016	22	10	-1.7294	1.0	1.0	1.0	1611	0	-1.7294
CBLL1	10	1.8269e-07	3.054e-06	0.00016	23	8	-1.0805	0.99817	0.99647	1.0	1586	0	-1.0805
JUN	10	1.9985e-07	3.054e-06	0.00016	24	10	-0.81154	1.0	1.0	1.0	1613	0	-0.81154
VARS	10	2.1517e-07	3.054e-06	0.00016	25	10	-1.3537	1.0	1.0	1.0	1610	0	-1.3537
RRAGC	10	2.159e-07	3.054e-06	0.00016	26	9	-0.76894	0.96024	0.93963	1.0	1507	1	-0.76894
GMPPB	10	3.9544e-07	3.054e-06	0.00016	27	8	-1.0232	0.99727	0.99433	1.0	1580	0	-1.0232
ACTR8	10	4.7404e-07	3.054e-06	0.00016	28	7	-1.2417	0.59373	0.61871	0.833313	1205	2	-1.2417
GABPB1	10	8.7308e-07	3.054e-06	0.00016	29	9	-0.9527	0.96509	0.94419	1.0	1510	1	-0.9527
FBXO42	10	9.3123e-07	3.054e-06	0.00016	30	4	-0.15458	0.023053	0.035612	0.26406	218	4	-0.15458
PIGA	10	1.2325e-06	3.054e-06	0.00016	31	10	-1.1782	0.99998	0.99999	1.0	1605	0	-1.1782
DHX15	10	1.9736e-06	9.1619e-06	0.00045	32	10	-0.88867	1.0	1.0	1.0	1609	0	-0.88867
YEATS4	10	2.4373e-06	9.1619e-06	0.00045	33	9	-0.91083	0.99905	0.9982	1.0	1593	0	-0.91083
MEMO1	20	4.1686e-06	2.7486e-05	0.001172	34	13	-0.30402	0.75582	0.79741	0.938707	1354	5	-0.30402
CFDP1	20	4.1853e-06	2.7486e-05	0.001172	35	12	-0.63778	0.49296	0.53851	0.799837	1082	3	-0.63778
DPAGT1	10	5.5246e-06	1.527e-05	0.000707	36	8	-0.92898	0.98846	0.97297	1.0	1545	1	-0.92898
TRPM7	10	5.7057e-06	1.527e-05	0.000707	37	8	-1.0101	0.99975	0.99958	1.0	1600	0	-1.0101
EXOC2	10	8.6336e-06	2.7486e-05	0.001172	38	10	-0.42462	0.99999	0.99999	1.0	1608	0	-0.42462
SRRT	10	9.6738e-06	3.3594e-05	0.001361	39	10	-0.95344	0.99999	0.99999	1.0	1606	0	-0.95344
SIRT6	10	9.8909e-06	3.3594e-05	0.001361	40	8	-0.78986	0.66709	0.68298	0.871283	1269	2	-0.78986
EXOSC4	10	1.0443e-05	3.9702e-05	0.00157	41	8	-0.75629	0.54104	0.57909	0.813438	1154	1	-0.75629
EEF2	20	1.3198e-05	7.6349e-05	0.00238	42	11	-0.35653	0.57384	0.62165	0.834179	1191	3	-0.35653
DPY30	10	1.6295e-05	4.581e-05	0.001768	43	8	-0.62178	0.07288	0.077947	0.337911	374	2	-0.62178
RQCD1	10	1.8768e-05	5.1918e-05	0.00183	44	7	-0.82538	0.82897	0.82726	0.958393	1398	2	-0.82538
IPO7	10	1.9687e-05	5.1918e-05	0.00183	45	9	-0.92577	0.94129	0.93214	1.0	1490	1	-0.92577
TAF4	10	2.1599e-05	5.1918e-05	0.00183	46	8	-0.84105	0.89875	0.89402	0.999457	1450	1	-0.84105
PPIL1	10	2.2251e-05	5.1918e-05	0.00183	47	10	-0.63893	0.99998	0.99998	1.0	1604	0	-0.63893
AARS	10	2.5423e-05	5.8026e-05	0.002001	48	8	-1.1561	0.84819	0.83975	0.95846	1416	1	-1.1561
