,0,1,bc
0,-5.2427897,3.6823225,E2 w/d 48h
1,-3.0346293,-0.07765071,E2 w/d 12h
2,3.5218754,5.822572,E2 w/d 12h
3,1.9938171,-3.122417,E2 w/d 0h
4,4.5589914,-3.219593,E2 w/d 0h
5,2.8090534,4.067212,E2 w/d 12h
6,-6.9124737,2.2988431,E2 w/d 48h
7,0.6815647,0.9834471,E2 w/d 0h
8,-0.5082575,-5.9880834,E2 w/d 0h
9,-0.6226213,-6.2313066,E2 w/d 0h
10,3.1801696,-4.255466,E2 w/d 0h
11,3.7875311,7.804937,E2 w/d 24h
12,-2.0520654,1.869656,E2 w/d 24h
13,1.1883506,3.422906,E2 w/d 12h
14,2.314465,3.267688,E2 w/d 12h
15,-3.9763575,2.935907,E2 w/d 24h
16,1.3866895,-0.47376302,E2 w/d 0h
17,-3.9212508,4.9756045,E2 w/d 48h
18,-2.039568,6.0339746,E2 w/d 24h
19,5.218526,-2.9567199,E2 w/d 0h
20,-1.049741,-3.1670086,E2 w/d 0h
21,-5.049834,4.381759,E2 w/d 48h
22,-0.5822926,-4.8817677,E2 w/d 0h
23,-1.2046669,-5.862475,E2 w/d 0h
24,4.7926393,-4.5546145,E2 w/d 0h
25,-0.4019955,-4.8866215,E2 w/d 0h
26,5.283576,-1.8881438,E2 w/d 0h
27,-8.596811,1.8638376,E2 w/d 48h
28,4.0905585,-1.5807844,E2 w/d 0h
29,-0.11382899,3.439706,E2 w/d 24h
30,-2.0088508,1.7174783,E2 w/d 24h
31,2.419235,7.7050567,E2 w/d 12h
32,1.612329,5.210815,E2 w/d 12h
33,-1.3418051,1.4459972,E2 w/d 24h
34,-1.0679406,1.8796709,E2 w/d 24h
35,-7.6149774,0.16384217,E2 w/d 48h
36,2.6332695,-3.4570048,E2 w/d 0h
37,5.1780634,-2.8982162,E2 w/d 0h
38,6.916502,-2.9501386,E2 w/d 0h
39,-7.2382197,-0.16616173,E2 w/d 48h
40,0.8000168,-5.521055,E2 w/d 0h
41,5.978273,-3.155093,E2 w/d 0h
42,3.0383883,-4.1876273,E2 w/d 0h
43,0.5272439,0.67237645,E2 w/d 0h
44,2.5581918,-4.512588,E2 w/d 0h
45,-1.9228476,4.9603205,E2 w/d 24h
46,-1.0244817,-6.158923,E2 w/d 0h
