id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RFK	10	1.7672e-15	3.054e-06	0.00055	1	10	-1.581	1.0	1.0	1.0	1620	0	-1.581
AMBRA1	10	4.0037e-15	3.054e-06	0.00055	2	9	-1.1407	0.99995	0.99994	1.0	1617	0	-1.1407
TAF2	10	7.6057e-14	3.054e-06	0.00055	3	9	-2.0608	0.99536	0.99422	1.0	1590	0	-2.0608
UBR5	10	2.7516e-11	3.054e-06	0.00055	4	7	-1.2634	0.99629	0.99664	1.0	1594	0	-1.2634
GAR1	10	1.1606e-08	3.054e-06	0.00055	5	10	-1.1396	1.0	1.0	1.0	1619	0	-1.1396
CBFB	10	1.9239e-08	3.054e-06	0.00055	6	7	-0.66303	0.70551	0.81198	1.0	1292	2	-0.66303
MED16	10	2.4884e-08	3.054e-06	0.00055	7	7	-0.94125	0.93677	0.95567	1.0	1509	1	-0.94125
GTF3C3	10	5.9817e-08	3.054e-06	0.00055	8	8	-0.84783	0.98794	0.98592	1.0	1562	0	-0.84783
NOP10	10	5.6705e-07	3.054e-06	0.00055	9	9	-0.67673	0.87331	0.91606	1.0	1443	1	-0.67673
ATP6AP1	10	1.2152e-06	9.1619e-06	0.001485	10	7	-0.73138	0.69891	0.80396	1.0	1284	1	-0.73138
CAD	10	4.3923e-06	2.1378e-05	0.002888	11	9	-0.98804	0.97845	0.97495	1.0	1548	1	-0.98804
EXOC2	10	4.4108e-06	2.1378e-05	0.002888	12	7	-0.55265	0.99831	0.99836	1.0	1604	0	-0.55265
FOSL1	10	5.5058e-06	2.7486e-05	0.003182	13	9	-0.56954	0.67579	0.78786	1.0	1267	1	-0.56954
DKC1	10	5.9817e-06	2.7486e-05	0.003182	14	9	-0.56685	0.99995	0.99994	1.0	1618	0	-0.56685
TNPO1	10	1.0846e-05	5.8026e-05	0.006271	15	9	-0.60012	0.99757	0.99766	1.0	1599	0	-0.60012
SUPT20H	10	1.3762e-05	8.2457e-05	0.007556	16	8	-0.71633	0.87645	0.92015	1.0	1451	1	-0.71633
ELOF1	10	1.397e-05	8.2457e-05	0.007556	17	5	-0.17483	0.11233	0.17552	0.667657	419	5	-0.17483
GTF3C1	10	1.8527e-05	8.8565e-05	0.007556	18	8	-0.77285	0.24319	0.36615	0.862703	682	2	-0.77285
HSD17B10	10	1.8536e-05	8.8565e-05	0.007556	19	9	-0.60099	0.99879	0.99867	1.0	1607	0	-0.60099
KIAA0907	10	2.1053e-05	0.00010078	0.008168	20	9	-0.50933	0.99934	0.9994	1.0	1611	0	-0.50933
ATP2A2	10	2.4855e-05	0.00013743	0.010608	21	8	-0.46601	0.30064	0.44682	0.923879	772	1	-0.46601
PDCL	10	2.7533e-05	0.00014964	0.010977	22	8	-0.68094	0.99917	0.99926	1.0	1610	0	-0.68094
MED25	10	3.1152e-05	0.00015575	0.010977	23	7	-0.51112	0.51188	0.67406	0.98812	1096	3	-0.51112
NUTM1	10	5.4718e-05	0.00024737	0.016708	24	7	-0.52436	0.81309	0.89007	1.0	1379	2	-0.52436
ZFPM1	10	6.3922e-05	0.00028402	0.017708	25	7	-0.45288	0.87802	0.92088	1.0	1452	1	-0.45288
RBM5	10	6.632e-05	0.00028402	0.017708	26	7	-0.50115	0.99898	0.9987	1.0	1608	0	-0.50115
NDUFS8	10	7.7975e-05	0.00040007	0.024019	27	8	-0.50837	0.79525	0.87732	1.0	1363	1	-0.50837
MYB	10	0.00011217	0.00058942	0.033629	28	9	-0.40337	0.99991	0.9999	1.0	1614	0	-0.40337
CD3EAP	10	0.00011785	0.00060163	0.033629	29	8	-0.67284	0.92357	0.95232	1.0	1503	1	-0.67284
NDUFA9	10	0.00014285	0.00074822	0.040429	30	8	-0.6984	0.79466	0.87731	1.0	1362	1	-0.6984
MAD2L1BP	10	0.00016533	0.00083984	0.043916	31	9	-0.618	0.99988	0.99988	1.0	1613	0	-0.618
GTF3C6	10	0.00017704	0.00090092	0.044554	32	7	-0.34217	0.98813	0.98627	1.0	1565	0	-0.34217
DDX39B	10	0.00017944	0.00090703	0.044554	33	7	-0.55638	0.99683	0.99686	1.0	1597	0	-0.55638
SPAG7	10	0.00022511	0.0011269	0.053727	34	9	-0.48374	0.99066	0.99083	1.0	1577	0	-0.48374
BRD2	20	0.00024066	0.0015911	0.066134	35	11	-0.17606	0.94215	0.97798	1.0	1513	2	-0.17606
TBX20	10	0.00027206	0.001188	0.055021	36	5	-0.19244	0.5313	0.68523	0.98812	1113	3	-0.19244
MED23	10	0.00028931	0.0012246	0.055143	37	7	-0.42366	0.45352	0.60244	0.968819	1009	2	-0.42366
NDUFB10	10	0.00032058	0.0013712	0.060075	38	8	-0.46849	0.99991	0.9999	1.0	1615	0	-0.46849
SCRIB	10	0.00035477	0.0014629	0.062402	39	8	-0.32324	0.99909	0.99896	1.0	1609	0	-0.32324
TAF8	10	0.00038961	0.0016461	0.066708	40	5	-0.18561	0.032968	0.051756	0.33966	245	4	-0.18561
EBPL	10	0.00042472	0.0018049	0.07136	41	7	-0.45196	0.90806	0.93624	1.0	1491	1	-0.45196
FIP1L1	10	0.00043651	0.0018782	0.072489	42	8	-0.80155	0.86641	0.91154	1.0	1432	2	-0.80155
TMEM209	10	0.00046626	0.0020004	0.075409	43	7	-0.36363	0.60275	0.73714	1.0	1178	1	-0.36363
SNAI1	10	0.00055316	0.0024401	0.088779	44	6	-0.36917	0.69687	0.80278	1.0	1280	2	-0.36917
CACNB3	20	0.00055758	0.0032097	0.106183	45	12	-0.33107	0.4155	0.59089	0.968819	955	5	-0.33107
SRRT	10	0.00056244	0.0024646	0.088779	46	9	-0.43699	0.99874	0.99864	1.0	1606	0	-0.43699
HSP90B1	10	0.00062342	0.0028371	0.099978	47	5	-0.079868	0.65304	0.77621	1.0	1241	3	-0.079868
HTR1A	10	0.00074973	0.0031731	0.106183	48	8	-0.37347	0.48039	0.63516	0.983371	1051	1	-0.37347
YTHDC2	10	0.00076441	0.0031792	0.106183	49	8	-0.41417	0.99628	0.99664	1.0	1593	0	-0.41417
UHMK1	10	0.00081598	0.0033746	0.109406	50	3	0.038302	0.1974	0.28385	0.795694	580	4	0.038302
TPST2	20	0.00085432	0.0044863	0.134672	51	13	-0.30028	0.98658	0.99488	1.0	1558	1	-0.30028
GAB1	10	0.00097386	0.0042053	0.133663	52	8	-0.37149	0.99821	0.99836	1.0	1602	0	-0.37149
MIDN	20	0.00099363	0.0051276	0.143308	53	13	-0.24676	0.98483	0.99409	1.0	1554	2	-0.24676
TFAP4	10	0.0010003	0.0043458	0.134672	54	7	-0.63421	0.89044	0.92892	1.0	1471	1	-0.63421
POLR1E	10	0.001046	0.004413	0.134672	55	8	-0.36562	0.98802	0.98627	1.0	1564	0	-0.36562
MED24	10	0.0010785	0.0045901	0.135284	56	8	-0.56527	0.86308	0.90976	1.0	1427	1	-0.56527
CABIN1	10	0.0011234	0.0048772	0.141178	57	5	-0.31004	0.64901	0.77237	1.0	1236	2	-0.31004
KIAA0020	20	0.0011423	0.0060988	0.158023	58	14	-0.31893	0.48275	0.65489	0.987516	1053	4	-0.31893
LMOD2	10	0.0013421	0.0057934	0.156683	59	6	-0.38721	0.91863	0.95088	1.0	1502	2	-0.38721
TADA1	10	0.0013468	0.0057995	0.156683	60	8	-0.37063	0.95622	0.96247	1.0	1526	1	-0.37063
RBM12	9	0.0013489	0.0050055	0.142348	61	7	-0.5655	0.85474	0.9024	1.0	1422	1	-0.5655
GMPPB	10	0.0014545	0.006111	0.158023	62	6	-0.24757	0.36985	0.50043	0.927852	879	3	-0.24757
PRRC2A	10	0.0014798	0.0061415	0.158023	63	8	-0.30963	0.98921	0.98953	1.0	1570	0	-0.30963
IRF8	10	0.0016136	0.0069661	0.173877	64	4	0.1892	0.070949	0.10587	0.50479	339	6	0.1892
EP300	10	0.0016184	0.0069722	0.173877	65	6	-0.35681	0.99464	0.99381	1.0	1588	0	-0.35681
ABCB11	10	0.001903	0.0077724	0.190894	66	3	0.029251	0.2557	0.38866	0.879923	712	5	0.029251
ONECUT1	10	0.0021827	0.0085786	0.207551	67	5	-0.17827	0.27909	0.41649	0.894217	750	4	-0.17827
PGAP2	20	0.0021842	0.011266	0.25017	68	12	-0.22803	0.069642	0.1056	0.50479	333	6	-0.22803
HNRNPDL	10	0.0023577	0.0089512	0.212154	69	7	-0.35289	0.93156	0.9548	1.0	1506	1	-0.35289
SFPQ	10	0.0023843	0.0090306	0.212154	70	8	-0.65615	0.88651	0.92662	1.0	1465	1	-0.65615
NCALD	30	0.002485	0.014864	0.302469	71	14	-0.088933	0.2639	0.38127	0.875464	727	11	-0.088933
GNAL	20	0.0030876	0.014717	0.302469	72	8	0.039611	0.27291	0.39568	0.889599	741	5	0.039611
HIST1H4C	10	0.0031189	0.010997	0.25017	73	4	-0.0026874	0.90755	0.93624	1.0	1489	1	-0.0026874
SUPT5H	10	0.003158	0.011144	0.25017	74	6	-0.63775	0.71915	0.82224	1.0	1304	3	-0.63775
NOL10	10	0.0031839	0.01115	0.25017	75	8	-0.26913	0.8275	0.89558	1.0	1396	2	-0.26913
TMEM258	10	0.0033848	0.012604	0.27609	76	8	-0.25059	0.98964	0.98985	1.0	1573	0	-0.25059
EIF4G1	10	0.0036712	0.013624	0.294455	77	7	-0.37974	0.81693	0.89189	1.0	1385	1	-0.37974
MAPK4	10	0.0038557	0.014302	0.302469	78	7	-0.27671	0.99851	0.99843	1.0	1605	0	-0.27671
