1600015I10Rik	ER_cst8644_DMSO_peak_735 (+19264)
1700012B07Rik	ER_cst8644_DMSO_peak_150 (-32246)
1700013D24Rik	ER_cst8644_DMSO_peak_772 (-18588)
1700029F12Rik	ER_cst8644_DMSO_peak_236 (+43632), ER_cst8644_DMSO_peak_235 (+50633)
1700029H14Rik	ER_cst8644_DMSO_peak_821 (+31296)
1700029J07Rik	ER_cst8644_DMSO_peak_849 (+6968)
1700057G04Rik	ER_cst8644_DMSO_peak_910 (+75090)
2210010C04Rik	ER_cst8644_DMSO_peak_730 (-161987)
2410131K14Rik	ER_cst8644_DMSO_peak_695 (+65450), ER_cst8644_DMSO_peak_696 (+87164)
4922502D21Rik	ER_cst8644_DMSO_peak_776 (+47194)
4930415F15Rik	ER_cst8644_DMSO_peak_108 (+75043)
4930474N05Rik	ER_cst8644_DMSO_peak_249 (+221658), ER_cst8644_DMSO_peak_250 (+221906)
4930512M02Rik	ER_cst8644_DMSO_peak_109 (-29476), ER_cst8644_DMSO_peak_108 (+63515)
4930578C19Rik	ER_cst8644_DMSO_peak_926 (-738581)
4932414N04Rik	ER_cst8644_DMSO_peak_479 (+167385)
4933402N22Rik	ER_cst8644_DMSO_peak_642 (-241417), ER_cst8644_DMSO_peak_643 (-152999), ER_cst8644_DMSO_peak_644 (-78045), ER_cst8644_DMSO_peak_645 (-5884), ER_cst8644_DMSO_peak_646 (-5487)
4933412E24Rik	ER_cst8644_DMSO_peak_296 (-125188), ER_cst8644_DMSO_peak_295 (+185512)
5530401A14Rik	ER_cst8644_DMSO_peak_123 (+48889)
5930422O12Rik	ER_cst8644_DMSO_peak_846 (-7081)
8430408G22Rik	ER_cst8644_DMSO_peak_765 (-356), ER_cst8644_DMSO_peak_766 (+9)
9530068E07Rik	ER_cst8644_DMSO_peak_117 (+106670)
A130051J06Rik	ER_cst8644_DMSO_peak_314 (-484380)
A1bg	ER_cst8644_DMSO_peak_297 (+84745)
A1cf	ER_cst8644_DMSO_peak_445 (+94525)
A830080D01Rik	ER_cst8644_DMSO_peak_929 (-23479)
A930003A15Rik	ER_cst8644_DMSO_peak_326 (-89837)
Abca1	ER_cst8644_DMSO_peak_582 (-226553), ER_cst8644_DMSO_peak_581 (-118278), ER_cst8644_DMSO_peak_580 (-68806), ER_cst8644_DMSO_peak_579 (-68050), ER_cst8644_DMSO_peak_578 (+37845), ER_cst8644_DMSO_peak_577 (+39374)
Abca8b	ER_cst8644_DMSO_peak_150 (+135553)
Abcb1a	ER_cst8644_DMSO_peak_622 (+15766)
Abcb1b	ER_cst8644_DMSO_peak_622 (-122343)
Abcc2	ER_cst8644_DMSO_peak_453 (-10568)
Abcd3	ER_cst8644_DMSO_peak_554 (-28320), ER_cst8644_DMSO_peak_553 (-28181)
Ablim1	ER_cst8644_DMSO_peak_458 (-132234), ER_cst8644_DMSO_peak_457 (-130672), ER_cst8644_DMSO_peak_456 (-130252)
Abr	ER_cst8644_DMSO_peak_119 (-78216)
Abra	ER_cst8644_DMSO_peak_285 (-568691)
Acot4	ER_cst8644_DMSO_peak_181 (-4272)
Actbl2	ER_cst8644_DMSO_peak_241 (+31983)
Adam17	ER_cst8644_DMSO_peak_160 (-5254)
Adam6a	ER_cst8644_DMSO_peak_191 (+925187), ER_cst8644_DMSO_peak_192 (+925628), ER_cst8644_DMSO_peak_193 (+949829), ER_cst8644_DMSO_peak_194 (+998461)
Adcy1	ER_cst8644_DMSO_peak_106 (-382865)
Adcy9	ER_cst8644_DMSO_peak_324 (-17106)
Adgrg1	ER_cst8644_DMSO_peak_867 (-21901), ER_cst8644_DMSO_peak_868 (-12008), ER_cst8644_DMSO_peak_869 (-10033)
Adgrg5	ER_cst8644_DMSO_peak_867 (+31512), ER_cst8644_DMSO_peak_868 (+41405), ER_cst8644_DMSO_peak_869 (+43380)
Adgrv1	ER_cst8644_DMSO_peak_228 (+524453)
Adipoq	ER_cst8644_DMSO_peak_327 (-2678), ER_cst8644_DMSO_peak_328 (+15768)
Adipor1	ER_cst8644_DMSO_peak_34 (+4773)
Ado	ER_cst8644_DMSO_peak_77 (-58728)
Adrb2	ER_cst8644_DMSO_peak_423 (+10440), ER_cst8644_DMSO_peak_422 (+19495)
Aebp1	ER_cst8644_DMSO_peak_104 (+893)
Agpat4	ER_cst8644_DMSO_peak_388 (+52166)
Agr3	ER_cst8644_DMSO_peak_161 (-126184), ER_cst8644_DMSO_peak_162 (-95732), ER_cst8644_DMSO_peak_163 (-94197)
Agtr1b	ER_cst8644_DMSO_peak_516 (-458779)
Ahi1	ER_cst8644_DMSO_peak_59 (-124023), ER_cst8644_DMSO_peak_60 (-113457), ER_cst8644_DMSO_peak_61 (+38319), ER_cst8644_DMSO_peak_62 (+42930), ER_cst8644_DMSO_peak_63 (+102431), ER_cst8644_DMSO_peak_64 (+114769), ER_cst8644_DMSO_peak_65 (+130489), ER_cst8644_DMSO_peak_66 (+131174)
Ahr	ER_cst8644_DMSO_peak_163 (-296385), ER_cst8644_DMSO_peak_162 (-294850), ER_cst8644_DMSO_peak_161 (-264398)
Akap6	ER_cst8644_DMSO_peak_165 (+129798)
Aldh1b1	ER_cst8644_DMSO_peak_571 (-79385), ER_cst8644_DMSO_peak_572 (-10164), ER_cst8644_DMSO_peak_573 (-9974)
Alkbh7	ER_cst8644_DMSO_peak_397 (-37)
Alox5ap	ER_cst8644_DMSO_peak_720 (-18697)
Alyref2	ER_cst8644_DMSO_peak_47 (-896), ER_cst8644_DMSO_peak_48 (-587)
